ID,Section,Type,Priority,Status,Task,Detail,Owner / Blocked on,Due,Source,Notes
A1,A. Hard dates,Task,P0,Open,Fix Singular campaign=None before the Summit QR moment,Tent-card QR to preloaded onboarding is unmeasurable as-is; every Summit install lands unattributed,,19 Aug,PostHog review 17 Aug,
A2,A. Hard dates,Task,P0,Open,File ticket #1 - deep linking,Owner Nityam + dev,,19 Aug,Slack 18 Aug,
A3,A. Hard dates,Task,P0,Open,File ticket #6 - Explore > Companies filters not working,Owner Prapti; needs repro detail; may tie to Explore load_failed in the review,,19 Aug,Slack 18 Aug,
A4,A. Hard dates,Task,P0,Decision needed,Confirm destination Asana project for both tickets,Also decide create vs draft,,19 Aug,Slack 18 Aug,
A5,A. Hard dates,Task,P0,Open,Lock the 25-26 Aug public launch date with Utkarsh,Raised 17 Aug; no outcome recorded,Utkarsh,22 Aug,Acquisition plan,
A6,A. Hard dates,Task,P0,Open,Get approval on Nityam's DRS-vs-launch-prep bandwidth split,Without it the levers slip by default,Utkarsh,22 Aug,Acquisition plan,
A7,A. Hard dates,Task,P0,Decision needed,Settle the deep-link root cause before anyone builds,"17 Aug review says user permission blocks; 18 Aug Slack says Customer.io click-tracker. Different bugs, different fixes",,19 Aug,Conflict,
B1,B. Activation,Task,P0,Open,Propose how brief completion goes from ~20% to 40%,Utkarsh's explicit ask and the reason acquisition got demoted,,,Weekly App Review 17 Aug,
B2,B. Activation,Task,P0,Decision needed,Decide which completion number you are committing to,20% (call) vs 41% of brief-openers vs 13% of installs. Pair whichever you pick with the 7-second median duration,,,PostHog review,
B3,B. Activation,Task,P1,Open,Adopt completed_engaged (duration >=60s) as the reported north star,Before the flattering number hardens into weekly scorecards; keep raw count as diagnostic,,,PostHog review,
B4,B. Activation,Task,P1,Open,Fix the cover cliff,"99 reached the brief cover, 41 entered. Test stronger CTA or auto-advance into card 1",,,PostHog review,
B5,B. Activation,Task,P1,Open,Ship the specced onboarding watchlist step,"In spec, absent from shipped flow. 98 opened the tab, 9 added anything",,,PostHog review,
