event_group	event_name	display_name	property	trigger_steps	trigger_url	login_state	event_property_groups	custom_event_properties	trigger_identify_call	expected_traits	source	destinations	automatable	test_notes	description	audit_status	audit_date	audit_notes
attribution	attribution_campaign	attribution_campaign	app	Open any inc42.com URL with utm_source/utm_medium/utm_campaign appended | complete registration in the same session | inspect identify()	https://inc42.com/?utm_source=audit&utm_medium=test&utm_campaign=prop_audit	logged-out	attribution	attribution_campaign:string	Yes	attribution_campaign = Key is written on 95% of App users but the value is null every time. Fix the Singular postback, then add to the spec.	web	posthog	auto	App PH 1,037 ; PostHog people: 1,037 ; blank rate: 100% ; Newly found by audit ; Live sample values: Key written on 1,037 users but value is null on every one.	Key is written on 95% of App users but the value is null every time. Fix the Singular postback, then add to the spec.	FIX	2026-09-07	Current: PostHog: attribution_campaign -> Expected: attribution_campaign | Key is written on 95% of App users but the value is null every time. Fix the Singular postback, then add to the spec.
attribution	attribution_source	attribution_source	app	Open any inc42.com URL with utm_source/utm_medium/utm_campaign appended | complete registration in the same session | inspect identify()	https://inc42.com/?utm_source=audit&utm_medium=test&utm_campaign=prop_audit	logged-out	attribution	attribution_source:string	Yes	attribution_source = Key is written on 95% of App users but the value is null every time. Fix the Singular postback, then add to the spec.	web	posthog	auto	App PH 1,037 ; PostHog people: 1,037 ; blank rate: 100% ; Newly found by audit ; Live sample values: Key written on 1,037 users but value is null on every one. Singular attribution not landing.	Key is written on 95% of App users but the value is null every time. Fix the Singular postback, then add to the spec.	FIX	2026-09-07	Current: PostHog: attribution_source -> Expected: attribution_source | Key is written on 95% of App users but the value is null every time. Fix the Singular postback, then add to the spec.
company	Company Type	company_type	inc42 | datalabs	Sign in | open Profile | fill Company Name, Website, Sector, Type | save | inspect identify()	https://inc42.com/profile/	logged-in	company	company_type:string	Yes	company_type = Map to the ladder. Null undefined.	web | backend	posthog | customerio	auto	Media PH 951 / CIO 3% ; DataLabs PH 52,708 / CIO 65% ; PostHog people: 53,659 ; blank rate: 17% ; priority P1 ; Your sheet row 11 ; Live sample values: Growth Stage Startup | Early Stage Startups | Investors | Listed Startups ; ⚠ space/underscore + leading-space variants (' Listed Startups','Early_Stage_Startups')	normalize values	FIX	2026-09-07	Current: PostHog: Company Type ; Customer.io: Company Type ; PH Main: Company Type' (926) rename→'company_type' ; PH DataLabs: Company Type' (46,703) rename→'company_type' ; CIO Main: Company Type' (3,485) rename→'company_type' ; 'Company_Type' (2,634) rename→'company_type' ; CIO DataLabs: Company Type' (6,131) rename→'company_type' ; bulk-null undefined (776) -> Expected: company_type | Map to the ladder. Null undefined. | normalize values
company	Company Website	company_website	inc42	Sign in | open Profile | fill Company Name, Website, Sector, Type | save | inspect identify()	https://inc42.com/profile/	logged-in	company	company_website:string	Yes	company_website = Fix the name-in-URL bug. One field: company_website. Review brand URLs before merge.	web | backend	posthog | customerio	auto	Media PH 211 / CIO 5% ; PostHog people: 211 ; blank rate: 46% ; priority P1 ; Your sheet row 16 ; Live sample values: CIO: real URLs (http://bharatpe.com) ; ⚠ PostHog (114): holds company NAMES 'Dressarte Paris' (BUG)	fix source bug	FIX	2026-09-07	Current: PostHog: Company Website ; Customer.io: Company Website ; PH Main: Company Website' (211) rename→'company_website' ; CIO Main: Company Website' (4,968) rename→'company_website' ; CIO DataLabs: — (not in this workspace) -> Expected: company_website | Fix the name-in-URL bug. One field: company_website. Review brand URLs before merge. | fix source bug
datalabs	datalabs_onboarding_status	datalabs_onboarding_status	datalabs	Sign in to DataLabs | complete the onboarding questions | inspect identify() against the DataLabs PostHog project (66351)	TODO-datalabs-url	logged-in	datalabs	datalabs_onboarding_status:string	Yes	datalabs_onboarding_status = Datalabs Onboarding Complete (row 35) ✓ agreed on the diagnosis	web | backend	posthog	auto	Currently a Yes/No that is 99% populated in PostHog but 66% BROKEN in Customer.io — the sync is the bug, not the field. ; Live sample values: not_started | in_progress | complete	Datalabs Onboarding Complete (row 35) ✓ agreed on the diagnosis	FIX	2026-09-07	Current: PostHog: Datalabs Onboarding Complete (row 35) ✓ agreed on the diagnosis -> Expected: datalabs_onboarding_status | Datalabs Onboarding Complete (row 35) ✓ agreed on the diagnosis
datalabs	DL Use Case	dl_use_case	datalabs	Sign in to DataLabs | complete the onboarding questions | inspect identify() against the DataLabs PostHog project (66351)	TODO-datalabs-url	logged-in	datalabs	dl_use_case:string	Yes	dl_use_case = Store as an array of the 17 allowed values. Drop anything else.	web | backend	posthog | customerio	auto	"DataLabs PH 52,312 / CIO 22% ; PostHog people: 52,312 ; blank rate: 28% ; priority P1 ; Your sheet row 14 ; Live sample values: ⚠ 3 serializations: plain 'Market Research' | comma 'Find Investors,Competitor Analysis' | JSON '[""""Strategic Planning"""",""""Find Investors""""]'"	normalize serialization	FIX	2026-09-07	Current: PostHog: DL Use Case ; Customer.io: DL Use Case ; PH DataLabs: DL Use Case' (46,307) rename→'dl_use_case' ; CIO Main: — (not in this workspace) ; CIO DataLabs: DL Use Case' (740) rename→'dl_use_case' ; bulk-null undefined (269) -> Expected: dl_use_case | Store as an array of the 17 allowed values. Drop anything else. | normalize serialization
datalabs	industry_alert_subscribed	industry_alert_subscribed	datalabs	Sign in to DataLabs | complete the onboarding questions | inspect identify() against the DataLabs PostHog project (66351)	TODO-datalabs-url	logged-in	datalabs	industry_alert_subscribed:string	Yes	industry_alert_subscribed = Map 1 and yes to true. Map 0 and no to false.	web | backend	posthog | customerio	auto	DataLabs PH 17,959 / CIO 48% ; PostHog people: 17,959 ; priority P1 ; Your sheet row 15 ; Live sample values: yes | no ; ⚠ mixed with '1' (normalize boolean format)	normalize booleans	FIX	2026-09-07	Current: PostHog: industry_alert_subscribed ; Customer.io: industry_alert_subscribed ; PH DataLabs: industry_alert_subscribed' (14,119) keep ; CIO Main: — (not in this workspace) ; CIO DataLabs: industry_alert_subscribed' (5,317) keep -> Expected: industry_alert_subscribed | Map 1 and yes to true. Map 0 and no to false. | normalize booleans
identity	Phone Number	phone_number	inc42 | datalabs	Open the registration modal | fill Full Name, Email, Phone | submit | inspect the identify() payload in the network tab	https://inc42.com	logged-out	user	phone_number:string	Yes	phone_number = E.164, default country IN. Null NA. Fold Mobile_Number into phone_number on Media. 1. Standardise — Rename → phone_numbe	web | backend	posthog | customerio	auto	Media PH 32,473 / CIO 42% ; DataLabs PH 51,427 / CIO 66% ; PostHog people: 83,900 ; blank rate: 30% ; priority P1 ; Your sheet row 8 ; Live sample values: 9892598778 | (885) 793-9726 | 08722549757 ; ⚠ mixed formats/country codes, some invalid (80000000)	normalize format	FIX	2026-09-07	Current: PostHog: Phone Number / phone_number ; Customer.io: Phone Number ; PH Main: Phone Number' (28,202) rename→'phone_number' ; PH Events: Phone' (573) rename→'phone_number' ; PH DataLabs: Phone Number' (45,414) rename→'phone_number' ; CIO Main: Phone Number' (37,857) rename→'phone_number' ; 'phone' (268) rename→'phone_number' ; CIO DataLabs: Phone Number' (6,237) rename→'phone_number' -> Expected: phone_number | E.164, default country IN. Null NA. Fold Mobile_Number into phone_number on Media. 1. Standardise — Rename → phone_number + normalize format (country codes, invalid nums) 2. Merge/delete — — 3. Fill check — CHECK — CIO 61% but 85% literal 'NA' (real ~9%)
identity	User ID	user_id	inc42 | datalabs	Open the registration modal | fill Full Name, Email, Phone | submit | inspect the identify() payload in the network tab	https://inc42.com	logged-out	user	user_id:string	Yes	user_id = Media writer must emit numeric PK. Do not delete until that is live. Join until then is email plus uid. 1. Standardise —	web | backend	posthog | customerio	auto	Media PH 16,701 / CIO 2% ; DataLabs PH 85,532 / CIO 72% ; PostHog people: 102,233 ; priority P1 ; Your sheet row 7 ; Live sample values: ⚠ Main + CIO-Main: 'google-oauth2|...' / 'email|...' (auth string = dup of uid) ; CIO-DL + PH-DL: '36700','147024' (correct numeric PK). Fix Main to numeric.	auth-string vs numeric-PK collision; dup of uid where auth-string — fix before any delete	FIX	2026-09-07	Current: PostHog: User ID ; Customer.io: User ID ; PH Main: User ID' (15,190) rename→'user_id' ⚠VALUE BUG: writes auth string not numeric PK → fix to numeric or DROP (dup of uid) ; PH DataLabs: User ID' (79,659) rename→'user_id' ; CIO Main: User ID' (1,043) rename→'user_id' ; CIO DataLabs: User ID' (7,455) rename→'user_id' -> Expected: user_id | Media writer must emit numeric PK. Do not delete until that is live. Join until then is email plus uid. 1. Standardise — Rename → user_id (CIO 7,455 · PH 79,659) + FIX: auth-string → numeric PK before dedupe 2. Merge/delete — — 3. Fill check — OK — 72% CIO / 57% PH live | auth-string vs numeric-PK collision; dup of uid where auth-string — fix before any delete
lifecycle	Login Method	login_method	datalabs	Register a fresh test account | then sign out and sign back in | inspect identify() on both	https://inc42.com	logged-out	user	login_method:string	Yes	login_method = Kill false and undefined on write and in backfill.	web | backend	posthog | customerio	auto	DataLabs PH 52,707 / CIO 72% ; PostHog people: 52,707 ; priority P1 ; Your sheet row 9 ; Live sample values: DB | Google | Linkedin ; ⚠ 'false' present (bug value)	fix bad value	FIX	2026-09-07	Current: PostHog: Login Method ; Customer.io: Login Method ; PH DataLabs: Login Method' (46,702) rename→'login_method' ; CIO Main: — (not in this workspace) ; CIO DataLabs: Login Method' (7,455) rename→'login_method' ; bulk-null undefined (269) -> Expected: login_method | Kill false and undefined on write and in backfill. | fix bad value
