BRIEF CARD COPY + PUSH, GENERATED FROM FULL ARTICLE TEXT  |  15 Inc42 articles in the 12 Sep 2026 brief window (11 Sep 07:00 to 12 Sep 07:00 IST)  |  Rebuilt 12 Sep 2026
Method: full article body pulled for all 15 stories (median 539 words), read end to end, then the hook picked from what the body contains. Every variant below is checked against the article, and the column 'Where the article answers it' names the exact place the reader lands on the answer. If a question had no answer in the text, it was not written.

SECTION 1: COPY VARIANTS. One row per variant. Serve the row whose reader interest matches the user.
#	Story	Link	Reader interest	Copy variant (card title or notification hook)	Where the article answers it	The answer, in one line
1	RentoMojo IPO	https://inc42.com/buzz/rentomojo-ipo-subscription-hits-17-18x-on-final-day-niis-lead-demand/	Company / product	RentoMojo rents furniture online. So why does it run 82 offline stores?	Body, company profile paragraph	20 warehouses and 82 offline stores across 29 cities.
1	RentoMojo IPO	https://inc42.com/buzz/rentomojo-ipo-subscription-hits-17-18x-on-final-day-niis-lead-demand/	Investment	Only Rs 150 Cr of RentoMojo's Rs 1,255 Cr IPO reaches the company. Where does the rest go?	Body, issue structure paragraph	An OFS of 2.73 Cr shares worth Rs 1,105.57 Cr, so existing shareholders are the sellers.
1	RentoMojo IPO	https://inc42.com/buzz/rentomojo-ipo-subscription-hits-17-18x-on-final-day-niis-lead-demand/	Public markets	RentoMojo's profit jumped 142%. How much of it is a tax credit?	Body, final financials paragraph	Rs 36.6 Cr of the Rs 104.3 Cr PAT came from a tax credit.
1	RentoMojo IPO	https://inc42.com/buzz/rentomojo-ipo-subscription-hits-17-18x-on-final-day-niis-lead-demand/	Investment	QIBs sat out until the last day, then bid 177X. What did they see on day three?	Headline, plus the Original 13:54 update in the body	QIBs were at 10.41X at 13:27 and closed at 177.29X.
2	UPI MDR 40 bps	https://inc42.com/buzz/upi-mdr-may-be-set-at-40-bps-banks-could-get-largest-share-report/	Industry / policy	Last month the number being discussed was 5 to 7 bps. Now it is 40. What changed?	Body, comparison paragraph	Earlier talks were 5-7 bps on transactions above Rs 2,000; the reported figure is now about 40 bps.
2	UPI MDR 40 bps	https://inc42.com/buzz/upi-mdr-may-be-set-at-40-bps-banks-could-get-largest-share-report/	Investment	If UPI stops being free, who actually collects the fee?	Body, paragraphs 2 and 3	Issuing bank 16 bps, third-party app 12 bps, acquiring bank 12 bps.
2	UPI MDR 40 bps	https://inc42.com/buzz/upi-mdr-may-be-set-at-40-bps-banks-could-get-largest-share-report/	Industry / policy	The government's UPI incentive fell from Rs 3,631 Cr to Rs 437 Cr. What fills the gap?	Body, 'Why UPI MDR Is Back On The Table'	The incentive peaked in FY24 and was cut for FY26, and a parliamentary committee said it never covered bank costs.
2	UPI MDR 40 bps	https://inc42.com/buzz/upi-mdr-may-be-set-at-40-bps-banks-could-get-largest-share-report/	Consumer	Will you be charged to pay by UPI?	Body, finance ministry clarification	No. Consumers are not charged and P2P stays free; MDR applies to select merchant payments above a threshold.
3	Fintech stocks rally	https://inc42.com/buzz/fintech-stocks-rally-on-report-of-40-basis-point-mdr-on-upi-paytm-touches-52-week-high/	Public markets	Paytm's high today was bigger than a 52-week high.	Body, paragraph 3	It touched Rs 1,829.50 intraday, a fresh all-time high.
3	Fintech stocks rally	https://inc42.com/buzz/fintech-stocks-rally-on-report-of-40-basis-point-mdr-on-upi-paytm-touches-52-week-high/	Public markets	One fintech stock rose 16.9% today, and it was not Paytm.	Body, paragraph 2	Pine Labs closed up 16.9% at Rs 202.35.
3	Fintech stocks rally	https://inc42.com/buzz/fintech-stocks-rally-on-report-of-40-basis-point-mdr-on-upi-paytm-touches-52-week-high/	Investment	Jefferies says Rs 5,000-10,000 Cr for the sector. Bernstein has a number for Paytm alone.	Body, brokerage paragraphs	Bernstein projects Rs 2,200 Cr of incremental EBITDA for Paytm by FY30.
