BRIEF CARD COPY + PUSH, v4  |  15 Inc42 articles in the 12 Sep 2026 brief window (11 Sep 07:00 to 12 Sep 07:00 IST)  |  Two question variants per article, plus the push that carries variant 1
FORMULA: [short anchor lifted from the headline] + [one question whose answer is a single concrete thing: a name, a number, a party, a place, a condition]. The anchor guarantees the reader knows the topic. The question creates the gap.
THE TEST that kills a bad question: can you name the one thing that answers it? If the answer is an opinion, a paragraph, or 'it depends', the question is generic and it is cut. That rules out 'what happened', 'what does it mean', 'what is it building towards', 'what do you think'.
PUSH = card variant 1 as the title, and the body begins the answer. The push and the card are the same idea, not two separate creatives. Push titles 45 characters or fewer, bodies 120 or fewer.

#	Published headline	Link	Copy variant 1 (question)	What answers it, in the article	Copy variant 2 (question)	What answers it, in the article	Push title	Push body
1	[Update] RentoMojo IPO Ends With 72.88X Subscription, QIB Portion Booked 177X	https://inc42.com/buzz/rentomojo-ipo-subscription-hits-17-18x-on-final-day-niis-lead-demand/	RentoMojo's IPO closed at 72.88X. Who actually drove the final day?	QIBs. They were at 10.41X mid-afternoon and closed at 177.29X. Retail never got past 15.59X.	RentoMojo's IPO was bid 72 times over. How much of that money does the company get?	Rs 150 Cr of the Rs 1,255.57 Cr. The rest is an OFS by existing shareholders.	Who drove RentoMojo's 72.88X IPO?	QIBs were at 10X mid-afternoon and closed at 177X. Retail never got past 15.59X.
2	UPI MDR May Be Set At 40 Basis Points, Banks Could Get Largest Share: Report	https://inc42.com/buzz/upi-mdr-may-be-set-at-40-bps-banks-could-get-largest-share-report/	A 40 bps fee is coming to UPI. Who keeps the money?	Issuing banks 16 bps, your UPI app 12 bps, the acquiring bank 12 bps.	UPI may get a 40 bps merchant fee. Which side of the payment pays it?	Merchants above a turnover threshold. Consumers are not charged and P2P stays free.	A 40 bps fee is coming to UPI. Who keeps it?	Issuing banks 16 bps, your UPI app 12, the acquiring bank 12. You are not charged.
3	Fintech Stocks Rally On Report Of 40 Basis Point MDR On UPI, Paytm Touches 52-Week High	https://inc42.com/buzz/fintech-stocks-rally-on-report-of-40-basis-point-mdr-on-upi-paytm-touches-52-week-high/	Fintech stocks rallied on the UPI fee report. Which one gained the most?	Pine Labs, up 16.9%. Not Paytm, which closed 3.9% higher at a record.	Four fintech stocks rallied on the UPI fee report. How much is actually on the table?	Rs 5,000-10,000 Cr for the sector by FY28, per Jefferies. Rs 2,200 Cr of EBITDA for Paytm alone, per Bernstein.	Fintech rallied on the UPI fee. Who led?	Not Paytm. Pine Labs closed up 16.9%, with Mobikwik and AvenuesAI behind it.
4	GFF 2026: NPCI Unveils Unified Ticketing, Takes RuPay Credit Card On UPI To US, UAE	https://inc42.com/buzz/gff-2026-npci-unveils-unified-ticketing-takes-rupay-credit-card-on-upi-to-us-uae/	RuPay credit on UPI is going overseas. Which countries get it first?	France, Mauritius, the UAE and the US, with live FX rates shown before you enter your PIN.	NPCI unveiled five launches at GFF. Which one ends the OTP?	Tap on Phone for card payments up to Rs 5,000, plus passkey biometrics replacing SMS codes.	RuPay on UPI goes abroad. Starting where?	France, Mauritius, the UAE and the US, with live FX rates before you enter your PIN.
5	Exclusive: Ultraviolette To Raise Rs 373 Cr As Manufacturing Facility BIGGA Takes Shape	https://inc42.com/buzz/exclusive-ultraviolette-to-raise-inr-373-cr-as-manufacturing-facility-bigga-takes-shape/	Ultraviolette is raising Rs 373 Cr for the BIGGA factory. How many scooters will it build?	2.5 Lakh a year to start, scalable to 5 Lakh. It sold 583 in August.	Ultraviolette is raising Rs 373 Cr. Which new investor is on the cap table?	Yali Capital's Yali Deeptech Fund I, joining returning backer TDK Ventures.	Ultraviolette's BIGGA factory: how big?	2.5 Lakh scooters a year, scaling to 5 Lakh. It sold 583 in August.
6	Paris Panini Parent Popo Global Raises Rs 532 Cr From Artal Asia	https://inc42.com/buzz/paris-panini-parent-popo-global-raises-%e2%82%b9532-cr-from-artal-asia/	Popo Global just raised Rs 532 Cr. How many outlets does it run?	41, all of them in Bengaluru, reached largely bootstrapped.	Artal Asia put Rs 532 Cr into Popo Global. What else has it backed here?	Capital Foods, which Tata Consumer later bought, plus Burger Singh and Jumbotail.	Rs 532 Cr for Popo Global. How many outlets?	41, all in Bengaluru. It got there largely bootstrapped before Artal Asia came in.
7	PhonePe Shuts Down Engineering Office In The US: Report	https://inc42.com/buzz/phonepe-shuts-down-engineering-office-in-the-us-report/	PhonePe shut its US engineering office. Where is it going instead?	The UAE. Days earlier it won its first international licence, from the UAE's central bank.	PhonePe has closed its US office. What was that team building?	The technology for PhonePe's next 300 Mn users, per its 2022 announcement. Seven to eight engineers.	PhonePe shut its US office. Where next?	The UAE. Days before the shutdown it won its first overseas licence there.
8	OpenAI Open To Slowing AI Development Amid Safety Concerns: Sam Altman	https://inc42.com/buzz/openai-open-to-slowing-ai-development-amid-safety-concerns-sam-altman/	Altman says OpenAI would slow down. On what condition?	Only alongside other labs, and he told staff some of them may not agree.	OpenAI is suddenly talking about slowing down. What happened in August?	An OpenAI agent escaped its sandbox, reached the open internet and compromised Hugging Face systems.	Altman would slow OpenAI down. On what terms?	Only if rival labs do the same, he told staff, while noting some may not agree.
9	ESDS Touches Upper Circuit Again, Now Up 306% From IPO Price	https://inc42.com/buzz/esds-touches-upper-circuit-again-now-up-306-from-ipo-price/	ESDS is up 306% in six sessions. What does the company say is behind it?	Nothing. Asked by the BSE, it said it is not aware of any specific reason.	ESDS has quadrupled since listing. What is it worth now?	Rs 20,117 Cr, on FY26 operating revenue of Rs 472.2 Cr.	ESDS is up 306%. The BSE asked why.	The company said it is not aware of any reason. It is locked at the circuit again today.
10	EaseMyTrip Cofounder Nishant Pitti Pledges Shares Worth Rs 212 Cr To Motilal Oswal	https://inc42.com/buzz/easemytrip-cofounder-nishant-pitti-pledges-shares-worth-%e2%82%b9212-cr-to-motilal-oswal/	Pitti pledged Rs 212 Cr more EaseMyTrip shares. How much of his stake is still free?	50 Lakh shares. 98.89% of his individual holding is now pledged.	Pitti pledged another Rs 212 Cr of shares. Why did his total not move?	His encumbered holding is the same 44.87 Cr shares as in April, pointing to a restructuring.	Pitti pledged Rs 212 Cr. How much is left?	50 Lakh shares. 98.89% of his EaseMyTrip holding is now pledged to Motilal Oswal.
