ONE INC42 — ROADMAP v1									
Scope	Unifying Website (editorial) + DataLabs + App around one audience.								
North star	QIA — Qualified Identified Actives. A person with a known role, inside the core startup-professional market, who took a qualifying action in a rolling 30-day window. QIA = Identified ∩ Qualified ∩ Active-30d.								
Baseline caveat	Utkarsh's "~2,100 qualified today" is a 90-day, company-resolved FLOOR. True QIA-30 is ~1,200–1,500 and cannot be measured cross-surface yet (3 separate PostHog projects + 2 Customer.io workspaces, no shared identity). The real number must be pulled from BigQuery first — see M0.								
Funnel	Acquisition → Activation → Engagement, rolling up to QIA.								
Structure	Monthly effort-weight model modelled on the Sheet5 tab, with one addition: Acquisition/Identification is broken out as its own weighted stage (Sheet5 skips it — and that is where the leak is).								
Owner / Target date	Left blank deliberately — for the team to fill.								
									
ACTIVATION IS DEFINED PER PRODUCT									
Product	Activation = 	Note							
Website (editorial)	Reads a 2nd article in the visit	⚠ PROPOSED — validate before locking this definition.							
DataLabs	Runs a search / applies a filter (an active query)	"Views a company profile" is the SEO landing, NOT activation.							
App	Completes a brief — engaged, ≥60s	A 7s flick does not count.							
									
THE CORE FINDING — the funnel collapses at IDENTITY, not activation									
Source: PostHog, last 30 days, internal users excluded.									
Stage	Website	DataLabs							
Total visitors	478,249	135,909							
Activation (value action)	45,510 (9.5%)	83,647 (62%)							
Identified	1,986 (0.42%)	211 (0.16%)							
Engaged (2+ days)	42,622	2,665							
Retained	36,635	1,880							
Revenue (payers)	186	278							
Read	Both products deliver value at scale but identify almost no one. Registration-gating — turning anonymous visitors into known users — is the single highest-leverage lever in this roadmap.								
									
EFFORT WEIGHT BY FUNNEL STAGE, BY MONTH									
Month	Fundamentals	Awareness	Acquisition	Activation	Engagement	Retention	Revenue		
M0 — Foundation	75%	—	—	—	—	—	—		
M1 — Top of funnel	—	30%	30%	20%	20%	—	—		
M2 — Middle of funnel	—	20%	25%	25%	30%	—	—		
M3 — Middle of funnel	—	5%	15%	30%	40%	10%	—		
M4 — Middle of funnel	—	5%	10%	15%	45%	25%	—		
M5 — Middle of funnel	—	5%	5%	10%	45%	25%	10%		
Note	Acquisition is a NEW stage vs Sheet5. It earns its own weight because 0.16–0.42% identified — not activation — is where the funnel breaks.								
									
ROADMAP									
Month	Funnel Stage	Feature	What we'll do	How we'll do it	Attributes to (metric it moves)	Source	Status	Owner	Target date
M0 — FOUNDATION		THEME: make the number honest and the surfaces measurable.							
M0 — Foundation	Fundamentals	Event dictionary v1.5	Reconcile events to spec; fire the dark events (push_delivered, decode, monetization); dedupe; adopt completed_engaged (≥60s); add the is_internal tag	Eng implements against the events doc	Measurement integrity	Sheet5	Not started		
M0 — Foundation	Fundamentals	Restore Scroll Depth + Register-Lock instrument	Re-enable the two dead events	Eng	Activation-depth + A2 holdout measurability	Feature-list	Not started		
M0 — Foundation	Fundamentals	Singular setup complete	Finish attribution + event flow beyond the SDK	Config + validate data transmission	Awareness (attributable acquisition)	Sheet5	Not started		
M0 — Foundation	Fundamentals	Per-product activation events + full-funnel instrumentation	Instrument web-2nd-article, DataLabs-search/filter and app-engaged-brief; add the DataLabs referral/Share event (currently missing)	Eng + data	The whole funnel becomes measurable	Feature-list	Not started		
M0 — Foundation	Fundamentals	QIA-30 pull + RFV engagement score	Pull the real 30-day QIA from BigQuery; build an FT-style Recency · Frequency · Volume score	Data team, BigQuery	The north-star baseline	Feature-list	Not started		
M0 — Foundation	Fundamentals	Identity spine	Canonical Auth0 distinct_id everywhere; converge the 3 PostHog projects + 2 Customer.io workspaces; promote 40,699 ICP labels silver→gold; exclude internal users	Data eng	One person visible across surfaces — this is what makes QIA measurable	Feature-list / Strategy	Not started		
M0 — Foundation	Fundamentals	Feature-Flag framework	Build the controlled-rollout framework	Backend config + segmentation	Enabler	Sheet5	Not started		
M0 — Foundation	Fundamentals	V2 app release · Redefine login page · Collect phone number	Ship v2; redesign the login page; capture phone at signup	Eng	Enabler + identity capture	Sheet5	Not started		
M0 — Foundation	Acquisition	Source-based Lock Modal (design + staging)	Design the registration gate	Design + staging first	Acquisition → % identified	Sheet5	Not started		
									
M1 — TOP OF FUNNEL		THEME: be found, and know who arrives.							
M1 — Top of funnel	Awareness	llm.txt / AI answer-engine visibility	Publish llm.txt so LLMs cite Inc42	Content + technical	Awareness — Inc42's biggest distribution gap; only Crunchbase has this today	Sheet5 + Competitor-gap	Not started		
M1 — Top of funnel	Awareness	Google preference/Discover bar · Google News indexing	Optimise for Google "preferred source" and get indexed in Google News	SEO / technical	Awareness	Sheet5 + Competitor-gap	Not started		
