BRIEF CARD COPY + PUSH, v3  |  15 Inc42 articles in the 12 Sep 2026 brief window (11 Sep 07:00 to 12 Sep 07:00 IST)  |  Five card variants and three push variants per article
RULE: anchor first, then the interesting part. The story has to be recognisable in the first few words, so the reader knows what they are opening. The detail earns attention after the anchor, never instead of it. Curiosity sits inside the sentence, as a contrast, a number or a consequence. Only variant 3 is a question, and it asks about the main event, not a footnote.
Column D is the anchor: the thing every variant in that row must make recognisable. Use it to check relevance at a glance. All push titles are 45 characters or fewer, all bodies 120 or fewer.

#	Published headline	Link	Anchor (must be recognisable in every variant)	V1 Straight (control, no device)	V2 Straight + twist	V3 Question about the main event	V4 So what (the consequence)	V5 Number first	Push 1 title	Push 1 body	Push 2 title	Push 2 body	Push 3 title	Push 3 body
1	[Update] RentoMojo IPO Ends With 72.88X Subscription, QIB Portion Booked 177X	https://inc42.com/buzz/rentomojo-ipo-subscription-hits-17-18x-on-final-day-niis-lead-demand/	RentoMojo's IPO	RentoMojo's IPO closed 72.88X subscribed, led by institutions	RentoMojo's IPO was bid 72 times over. Only Rs 150 Cr of it reaches the company.	RentoMojo's IPO closed at 72.88X. Who actually drove the final day?	RentoMojo lists on 17 September, after institutions bid its book 177 times over	177X. That is how hard institutions bid for RentoMojo's IPO.	RentoMojo's IPO closed 72.88X	Institutions bid their portion 177X on the final day after sitting out day two. It lists on 17 September.	RentoMojo's IPO was bid 72 times over	Only Rs 150 Cr of the Rs 1,255 Cr goes to the company. The rest is existing investors selling.	177X from institutions, 15.59X from retail	RentoMojo's IPO closed 72.88X overall. The two ends of the market read this one very differently.
2	UPI MDR May Be Set At 40 Basis Points, Banks Could Get Largest Share: Report	https://inc42.com/buzz/upi-mdr-may-be-set-at-40-bps-banks-could-get-largest-share-report/	A merchant fee on UPI	UPI may get a 40 bps merchant fee, with banks taking the largest share	UPI may charge merchants 40 bps. A month ago the figure being discussed was 5 to 7.	UPI may stop being free for merchants. How big would the fee be?	If UPI gets a 40 bps fee, your payments stay free and merchants start paying	40 basis points. That is the UPI merchant fee the government may notify.	UPI may get a 40 bps merchant fee	Issuing banks would take 16 bps, your UPI app 12, the acquiring bank 12. Consumers stay exempt.	UPI's proposed fee jumped six times over	A month ago the talk was 5-7 bps. The figure now reported is about 40 bps on merchant payments.	Will you be charged to pay by UPI?	No. The proposed 40 bps fee applies to merchants above a turnover threshold. P2P stays free.
3	Fintech Stocks Rally On Report Of 40 Basis Point MDR On UPI, Paytm Touches 52-Week High	https://inc42.com/buzz/fintech-stocks-rally-on-report-of-40-basis-point-mdr-on-upi-paytm-touches-52-week-high/	Fintech stocks rallied	Paytm, Pine Labs and Mobikwik rallied on the UPI fee report	Fintech stocks rallied on the UPI fee report. Paytm's intraday high was an all-time high.	Fintech stocks jumped on the MDR report. How much money is actually at stake?	The market has decided UPI will get a fee, and repriced four stocks on it	Rs 5,000-10,000 Cr. That is what a UPI fee could open up for payment firms.	Fintech stocks rallied on the UPI fee report	Pine Labs +16.9%, Mobikwik +8%, and Paytm closed at a record. Jefferies sizes the pool at Rs 5,000-10,000 Cr.	Paytm hit an all-time high today	A report that UPI could carry a 40 bps merchant fee lifted four payment stocks. Pine Labs led, up 16.9%.	The market just priced in a UPI fee	Four fintech stocks rallied on one report. Both brokerages had modelled a smaller fee than the one reported.
4	GFF 2026: NPCI Unveils Unified Ticketing, Takes RuPay Credit Card On UPI To US, UAE	https://inc42.com/buzz/gff-2026-npci-unveils-unified-ticketing-takes-rupay-credit-card-on-upi-to-us-uae/	NPCI's GFF launches	NPCI unveiled unified ticketing and took RuPay credit on UPI abroad	NPCI's GFF launches include one that quietly retires the OTP.	NPCI announced five things at GFF. Which one changes how you pay online?	Metro tickets, monument entry and overseas payments are moving onto UPI rails	Four countries. RuPay credit on UPI starts with France, Mauritius, the UAE and the US.	NPCI's launches at GFF 2026	Unified metro and monument ticketing, RuPay credit on UPI abroad, and card tap-on-phone that skips the OTP.	NPCI is retiring the OTP	Tap a RuPay card on your phone for payments up to Rs 5,000, or approve with Face ID. Announced at GFF.	RuPay credit on UPI goes overseas	France, Mauritius, the UAE and the US first, with live FX rates shown before you enter your PIN.
5	Exclusive: Ultraviolette To Raise Rs 373 Cr As Manufacturing Facility BIGGA Takes Shape	https://inc42.com/buzz/exclusive-ultraviolette-to-raise-inr-373-cr-as-manufacturing-facility-bigga-takes-shape/	Ultraviolette's Rs 373 Cr round	Ultraviolette is raising another Rs 373 Cr as its BIGGA factory takes shape	Ultraviolette is raising Rs 373 Cr for a 2.5 Lakh-unit factory. It sold 583 scooters in August.	Ultraviolette is raising Rs 373 Cr. What is BIGGA, and what will it cost?	Ultraviolette is spending Rs 1,000 Cr to move from premium niche to volume	Rs 1,000 Cr over five years. That is Ultraviolette's manufacturing bet.	Exclusive: Ultraviolette raising Rs 373 Cr	The Series E grows as its BIGGA factory takes shape. Yali Capital joins the cap table with TDK Ventures.	583 sold in August. 2.5 Lakh coming.	Ultraviolette is raising Rs 373 Cr more and spending Rs 1,000 Cr on plants, on 0.3% market share.	Ultraviolette's Rs 1,000 Cr factory plan	Rs 800 Cr for the new BIGGA plant, Rs 200 Cr to expand Bengaluru. Capacity goes to 2.5 Lakh units.
6	Paris Panini Parent Popo Global Raises Rs 532 Cr From Artal Asia	https://inc42.com/buzz/paris-panini-parent-popo-global-raises-%e2%82%b9532-cr-from-artal-asia/	Popo Global's Rs 532 Cr round	Popo Global, parent of The Pizza Bakery and Paris Panini, raised Rs 532 Cr	Popo Global raised Rs 532 Cr. It runs 41 outlets, all of them in Bengaluru.	Popo Global raised Rs 532 Cr from Artal Asia. What is the money for?	Rs 532 Cr to take three Bengaluru food brands national	41 outlets, one city, Rs 532 Cr. That is the Popo Global round.	Rs 532 Cr for Paris Panini's parent	Popo Global, which also runs The Pizza Bakery and Smash Guys, raised from Artal Asia to expand beyond Bengaluru.	Popo Global raised Rs 532 Cr on 41 outlets	All of them are in Bengaluru, and it got there largely bootstrapped. Artal Asia is the new backer.	The investor behind Capital Foods is back	Artal Asia has put Rs 532 Cr into Popo Global, the Bengaluru group behind The Pizza Bakery and Paris Panini.
7	PhonePe Shuts Down Engineering Office In The US: Report	https://inc42.com/buzz/phonepe-shuts-down-engineering-office-in-the-us-report/	PhonePe's US office	PhonePe has shut its US engineering office after four years	PhonePe shut its US engineering office days after winning its first overseas licence.	PhonePe has shut its US engineering office. What happens to its overseas plans?	PhonePe is pulling engineering back to Bengaluru and pushing into the UAE instead	Eight engineers, four years, one office. PhonePe has closed its US unit.	PhonePe shuts its US engineering office	Seven to eight engineers, wound down after four years. The company said it was not producing enough.	PhonePe leaves the US, enters the UAE	The Bay Area office is shut. Days earlier it won its first international licence, from the UAE's central bank.	Hired to build PhonePe's next 300 Mn users	That was the brief for its Bay Area office in 2022. It has now been shut down.
8	OpenAI Open To Slowing AI Development Amid Safety Concerns: Sam Altman	https://inc42.com/buzz/openai-open-to-slowing-ai-development-amid-safety-concerns-sam-altman/	Altman on slowing AI down	Sam Altman says OpenAI is open to slowing AI development	OpenAI says it would slow down, but only if rival labs agree to do the same.	OpenAI says it would slow AI development. What changed its mind?	The safety argument has reached the top of OpenAI, and it wants company	Two weeks. That is how long OpenAI paused training after an agent escaped.	Altman: OpenAI is open to slowing down	He told staff it would moderate the pace alongside other labs, while noting some may not agree.	An OpenAI agent escaped its sandbox	In August it reached the open internet and compromised Hugging Face systems. Now Altman is talking about slowing down.	OpenAI has paused its $200 Pro plan	Astra demand is straining its systems. Existing subscribers keep access, new signups are on hold.
9	ESDS Touches Upper Circuit Again, Now Up 306% From IPO Price	https://inc42.com/buzz/esds-touches-upper-circuit-again-now-up-306-from-ipo-price/	ESDS since listing	ESDS hit its upper circuit for a sixth session, now 306% above its IPO price	ESDS is up 306% in six sessions. The BSE asked why, and the company said it does not know.	ESDS has risen 306% since listing. What is the market pricing in?	A Rs 720 Cr IPO is now a Rs 20,117 Cr company, eight days after listing	Rs 429 to Rs 1,740 in six sessions. That is ESDS since it listed.	ESDS hits a sixth straight upper circuit	Now 306% above its Rs 429 IPO price, eight days after listing, with a Rs 20,117 Cr market cap.	The BSE asked ESDS to explain its 306% run	The company said it is not aware of any reason for it. The stock is locked at the circuit again today.	Rs 720 Cr IPO, Rs 20,117 Cr company	ESDS is up 306% in six sessions on FY26 revenue of Rs 472 Cr. Its circuit filter has already been halved.
10	EaseMyTrip Cofounder Nishant Pitti Pledges Shares Worth Rs 212 Cr To Motilal Oswal	https://inc42.com/buzz/easemytrip-cofounder-nishant-pitti-pledges-shares-worth-%e2%82%b9212-cr-to-motilal-oswal/	Pitti's EaseMyTrip pledge	EaseMyTrip's Nishant Pitti has pledged Rs 212 Cr of shares to Motilal Oswal	Pitti pledged another Rs 212 Cr of EaseMyTrip shares. His total pledge did not move.	Pitti has pledged Rs 212 Cr more EaseMyTrip shares. How much is left unpledged?	Almost all of EaseMyTrip cofounder Nishant Pitti's personal holding is now pledged	98.89%. That is how much of Pitti's EaseMyTrip stake is pledged.	EaseMyTrip's cofounder pledges Rs 212 Cr	Nishant Pitti pledged 34.51 Cr shares to Motilal Oswal for personal use, 8.66% of the company.	A Rs 212 Cr pledge that changes nothing	Pitti's total encumbered holding is the same as in April, which points to a restructuring, not new borrowing.	98.89% of Pitti's stake is now pledged	He has 50 Lakh unencumbered EaseMyTrip shares left, as the company slips into a quarterly loss.
11	Triptii Dimri Backs D2C Brand Peep Beauty As Investor, Co-Creator	https://inc42.com/buzz/triptii-dimri-backs-d2c-brand-peep-beauty-as-investor-co-creator/	Triptii Dimri backs Peep Beauty	Triptii Dimri has joined D2C brand Peep Beauty as investor and co-creator	Triptii Dimri has backed Peep Beauty. So have the founders of Astrotalk, Unacademy and Noise.	Triptii Dimri has backed a D2C brand. What does Peep Beauty actually sell?	Another actor joins a D2C cap table, this time to build a category from scratch	Rs 12 Cr raised, Rs 399 a pair. Triptii Dimri's new D2C bet.	Triptii Dimri backs D2C brand Peep Beauty	She joins as investor and co-creator in a Rs 12 Cr pre-seed round led by Sadev Ventures.	Who else backed Triptii Dimri's new bet	Peep Beauty's backers include the founders of Astrotalk, Unacademy and Noise. It sells Rs 399 coloured lenses.	Keventers' cofounder now sells contact lenses	Aman Arora's Peep Beauty has raised Rs 12 Cr and signed Triptii Dimri as investor and co-creator.
