event_group,event_name,display_name,property,trigger_steps,trigger_url,login_state,event_property_groups,custom_event_properties,trigger_identify_call,expected_traits,source,destinations,automatable,test_notes,description,audit_status,audit_date,audit_notes
page_view,$pageview,$pageview,inc42,Open any inc42.com page | wait for load to complete | check the payload in PostHog Live Events,https://inc42.com (any page),any,content | page,(none beyond the group properties),No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). 624K/30d — the only richly-propertied event on the site. `capture_pageview` is OFF in PostHog, so this is hand-coded, not SDK autocapture. Also note: the GA4 leg of this same page load carries full name/email/phone/employer as user-properties for a logged-in session — a live PII path, do not extend it.  Live-verified 8 Sep 2026 (90d window). NAME CORRECTED — the live PostHog event is `$pageview` (2,143,072/90d). 'Pageview' in Title Case does not exist in this project.",A page finishes loading,,,
content,Form Submission,Form Submission,inc42,"Open any page with a form (newsletter, gated report, contact) | fill it with test data | submit | confirm the success state",https://inc42.com,any,content | page,modal_name:string | modal_id:string | modal_type:string,Yes,email | full_name | phone_number,web | backend,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). 5,337/30d. TWO KNOWN DEFECTS: (1) the property name is misspelled `Model Type` on 61% of rows and correct `Modal Type` on 39% — check which you get; (2) CONFIRMED PII LEAK — this is one of 5 GTM tags sending full PII to an undisclosed Mixpanel, and it also carries Meta CAPI PII (em/ph/fn/ln). Use a disposable test identity only.",A generic form is submitted,,,
monetization,Plus Lock,Plus Lock,inc42,Open a Plus-gated article while signed out or on a free account | confirm the Plus paywall lock renders,https://inc42.com — Plus-gated article,any,content | page | plus,modal_name:string | modal_id:string | modal_type:string,No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). MISROUTED, NOT LOW-VOLUME. Fires reliably 35-45x per run to GA4 and ZERO times to PostHog. An earlier audit read its 4/30d PostHog volume as 'near-zero, likely superseded' — that read was wrong. Expect to find it in GA4 and nowhere else. Separately, a product-owner decision is open on whether Plus Lock still exists as a concept vs Freewall Lock.  Live-verified 8 Sep 2026 (90d window). CONFIRMED ABSENT from PostHog over 90 days — the GA4-only routing is real.",The Inc42 Plus paywall lock is shown,,,
user_engagement,Registered,Registered,inc42,Register a brand-new account with a disposable email | complete the signup flow | confirm you land signed in,https://inc42.com — register / signup modal,logged-out,page | user,register_source:string,Yes,email | first_name | last_name | uid | user_creation_date | register_source,web | backend,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). Live-verified 8 Sep 2026 (90d window). NOT missing — 3,477 events in 90d, last event today. An earlier audit claim that `Registered` is 'absent from PostHog entirely' was WRONG; ignore it. What still needs testing is the payload and the identify call, not whether the event exists. Register with a disposable email and confirm register_source and the person properties land.",A new account registration completes,,,
user_engagement,Login,Login,inc42,Sign out | sign back in with a test account | confirm you land signed in,https://inc42.com — login modal,logged-out,page | user,(none listed beyond the group properties),Yes,email | uid | first_name | last_name,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). 3,136/30d. TWO SERIOUS FINDINGS: (1) `distinct_id` is set to the user's EMAIL, not an Auth0 uid; (2) worse — a fully signed-in user still gets an ANONYMOUS UUID as their PostHog distinct_id because identify() never fires on page load, and the same session holds a Customer.io GUEST token. Any per-logged-in-user web metric is unreliable until fixed. CONFIRMED PII LEAK: ~10,500 fires/90d sending email/phone/name/employer to an undisclosed Mixpanel.",Authentication succeeds on the website,,,
user_engagement,Logout,Logout,inc42,"While signed in, sign out from the account menu | then browse two more pages and check whether the old identity is still attached",https://inc42.com — account menu,logged-in,page | user,logout_status:string,No,,web | backend,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). P0. Only 12/30d against Login's 3,136/30d — badly under-firing. Missing the `Logout Status` property. CRITICAL: `posthog.reset()` is never called on logout, so a signed-out browser keeps carrying the previous user's identity into new anonymous activity — verify this by checking the distinct_id on the two pages you browse after signing out.",The user signs out,,,
ui_interaction,Modal Viewed,Modal Viewed,inc42,"Browse inc42.com until any modal renders (newsletter prompt, freewall, exclusive lock) | capture the payload",https://inc42.com — any modal overlay,any,content | page,modal_name:string | modal_id:string | modal_type:string,No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). 104,050/30d — a top-5 volume PostHog event with ZERO documented destinations in the master sheet. Its `Modal Type` enum is confirmed truncated/incomplete in the source, so record every value you see. Possibly also absorbs the unmapped `newsletter_prompt_shown` spec event under an undocumented Modal Type — worth confirming.",Any modal renders,,,
content,My Inc42,My Inc42,inc42,"Sign in | open My Inc42 | click through each sub-tab (My Feed, Saved Stories, Member Library, My Membership, Account & Settings)",https://inc42.com/my-inc42/,logged-in,page | user,my_inc42_state:string:required:enum[My Feed|Saved Stories|Member Library|My Membership|Account & Settings],No,,web,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). Live-verified 8 Sep 2026 (90d window). WORSE than previously recorded: ZERO events in 90 days, not '1 event/30d'. Functionally dead despite firing on every My Inc42 view by spec. Separate data-quality bug to check if it ever does fire: the `My Inc42 State` value 'MY FEED' has wrong casing against the rest of the enum. Click every sub-tab and record whether anything at all is produced.",A My Inc42 page or tab is viewed,,,
user_engagement,Newsletter Subscribed,Newsletter Subscribed,inc42,Scroll to the newsletter box on any article | enter a disposable test email | click Subscribe | confirm the success state,https://inc42.com/buzz/,logged-out,content | page | user,newsletter_id:string | signup_source:string:enum[homepage|article_footer|popup],Yes,email | daily_newsletter_status,web | backend,posthog | customerio,manual,"PostHog project 53557 (Editorial Web). 1,120/30d. NOTE: `Daily_Newsletter_Status` lives on the PERSON, not the event — do not look for it in the event payload. A `Page Url` casing variant also exists. CONFIRMED PII LEAK — one of the 5 GTM tags sending full PII to an undisclosed Mixpanel; use a disposable address that creates a real Customer.io profile you are willing to leave behind. The master sheet also carries an exact duplicate row for this event, safe to delete.",A newsletter subscription completes,,,
monetization,Plus Bottom Bar,Plus Bottom Bar,inc42,"Browse article pages and watch for a Plus bottom bar / sticky banner | if it never appears, record that",https://inc42.com — article pages,any,page | plus,(not documented in the master sheet),No,,web,posthog | customerio,auto,"PostHog project 53557 (Editorial Web). UNDETERMINED — never seen in any of the 6 scripted browser journeys. The open question is whether this banner still exists on the site at all; it needs a product-owner decision, not a bug fix. Record whether you can make it render.",The Plus bottom bar is triggered,,,
