ITM conventions to track clicks,,https://docs.google.com/spreadsheets/d/1mbgbZPQjUgroGo8Zt1ljXZwclNYXuxrRaxJYk_ba38I/edit#gid=332896096,
Property Group,Property Name,Property Description,Sample Values
Page,Page URL,The full URL of the page being visited by the user.,www.inc42.com/company/flipkart
Page,Page Title,The title of the page as defined in the HTML <title> tag.,Flipkart | DataLabs by Inc42
Page,Slug,The part of the URL that identifies the specific page (usually after the domain).,flipkart
Page,Domain,Platform where user is interacting,"[Inc42,
Inc42 DataLabs]"
Page,Sidebar State,Indicates whether the sidebar is open or closed.,"[Open,
Closed]"
Page,DL Page Type,"Type of the page within Datalabs (e.g., profile, search, etc.).","[Home,
Ask Datalabs,
Pricing,
Payment,
Edit Company Profile,
My Feed,
Company Search,
Investor Search,
Industry Search,
Location Search,
Funding Search,
Acquisition Search,
Report Search,
Company Profile,
Investor Profile,
Person Profile,
Industry Profile,
Location Profile,
Report Profile,
My List,
My Search,
Company List,
Investor List
Show All
Company Saved Search,
My Inc42,
My Alerts,
Programmatic Company List,
Company Listicle,
Disclaimer
People Search]"
Page,DL Page Property Type,Category of the property associated with the page,"[My Feed,
Pricing,
Payment,
Disclaimer,
Report_Page_Type,
Alert_Type,
Company_Financial,
Inc42,
Datalabs,
Settings,
Company_Overview,
Company_Funding,
Company_Captable,
Company_Investment,
Company_Aquisition,
Company_KeyPeople]"
Page,DL Page Property Value,The value related to the page property type,"[My Feed : {General, Personalised},
Pricing : {Main, Book Demo},
Payment : {Checkout, Payment Initiated, Payment Completed}
Disclaimer : {Data Disclaimer, Research Report Disclaimer, Data Updation Policy},
Report_Page_Type : {About Report, View Report},
Alert_Type : {Industry}
Company_Financial : {Profit&Loss, Balance Sheet, Cash Flow, Financial Ratios},
Inc42 : {My Feed, Saved Stories, Membership Library, Recently Viewed},
Datalabs : {My Lists, Saved Search, My Alerts, Recently Viewed},
Settings : {My Membership, My Account}
Company_Captable : {Captable Charts, Detailed Cap Table, }]"
Page,Profile Tab Type,The type of tab being viewed on a profile page,"[Overview,
Financials,
Funding,
Investment,
Acquisition,
Latest Stories,
Insights,
Companies,
Key People,
Captable]"
Page,Profile Tab Property Type,The category of the property associated with the profile tab.,(Financial_Period - Financial_Type)
Page,Profile Tab Property Value,The specific value related to the property type.,"[Yearly - Standalone], 
[Quaterly - Standalone], 
[Yearly - Consolidated], 
[Quaterly - Consolidated]"
User (every event),User State,"Indicates whether the user is logged in, or in guest mode.","[Guest,
Logged-in]"
User (every event),User Type,The type of user,"[Guest,
Pro Trial
Free,
Plus Member,
Pro Member,
Pro Team Member]"
User (every event),User_Profile_Fixed,"Fixed profile of a user, which category does the user lies in","[Founder,
Investor,
Sales & Marketing,
Market Researcher]"
User (every event),User_Profile_Variable,"Current interet of a user, which category does the user lies in","[Founder,
Investor,
Sales & Marketing,
Market Researcher]"
User (Identify),User ID,The unique identifier assigned to the user.,"[""12345""]"
User (Identify),Register Source,The platform through which the user registered.,"[Inc42 Datalabs,
Inc42]"
User (Identify),Login Method,The method the user used to log in,"[Email,
Gmail,
Linkedin]"
User (Identify),Email,The email address of the user.,abc@gmail.com
User (Identify),First Name,The first name of the user.,Madhur
User (Identify),Last Name,The last name of the user.,Garg
User (Identify),Company Name,The name of the user's company.,Inc42
User (Identify),Phone Number,The contact phone number of the user.,7774049811
User (Identify),Linkedin,Linkedin profile URL,https://www.linkedin.com/in/madhurgarg96/
User (Identify),Industry,"The industry the user is interested in or works in (e.g., ecommerce, fintech).",Ecommerce
User (Identify),Company Type,The type of company,Late Stage Startup
User (Identify),Seniority,The seniority level of the user,Founder
User (Identify),Company Function,The function or department of the user,Product
User (Identify),Trial Start Date,The date on which user's trial starts,12.02.2026
User (Identify),Trial End Date,The date on which user's trial ends,12.02.2026
User (Identify),Datalabs Onboarding Complete,Indicates if the user has completed the onboarding process for Datalabs.,"[Yes,
No]"
User (user meta only),industry_alert_subscribed,Indicates whether the user is subscribed to industry alerts.,"[yes,
no]"
User (user meta only),datalabs_popup_pro,Identify is a user is Pro user,"[true,
false]"
User (user meta only),datalabs_popup_existing_user,Identify users who had onboarded on the platform before 30th Jun 2025,"[true,
false]"
User (user meta only),datalabs_popup_feed_page,"Identify users who have seen information modal on ""My Feed"" page","[true,
false]"
User (user meta only),datalabs_popup_company_profile,"Identify users who have seen information modal on ""My Feed"" page","[true,
false]"
User (user meta only),datalabs_popup_company_search,"Identify users who have seen information modal on ""My Feed"" page","[true,
false]"
User (user meta only),datalabs_popup_investor_search,"Identify users who have seen information modal on ""My Feed"" page","[true,
false]"
User (user meta only),datalabs_popup_funding_search,"Identify users who have seen information modal on ""My Feed"" page","[true,
false]"
User (user meta only),datalabs_popup_acquistion_search,"Identify users who have seen information modal on ""My Feed"" page","[true,
false]"
User (user meta only),datalabs_popup_report_search,"Identify users who have seen information modal on ""My Feed"" page","[true,
false]"
User (user meta only),datalabs_popup_industry_search,"Identify users who have seen information modal on ""My Feed"" page","[true,
false]"
User (user meta only),datalabs_popup_location_search,"Identify users who have seen information modal on ""My Feed"" page","[true,
false]"
User (user meta only),datalabs_popup_mylist,"Identify users who have seen information modal on ""My Feed"" page","[true,
false]"
User (user meta only),datalabs_popup_saved_search,"Identify users who have seen information modal on ""My Feed"" page","[true,
false]"
Pro,Pro Membership Type,Membership type brought by the user,"DL Pro - Annual Membership
DL Pro - Quarterly Membership
DL Pro - Monthly Membership"
Pro,Pro Subscription ID,Subscription ID of pro membership,"""123456"""
Pro,Pro Term ID,Term ID of pro membership,"""123456"""
Pro,Pro Membership Start Date,Start date of pro membership,"Wed, Sep 11, 2024 7:41 AM"
Pro,Pro Membership End Date,End date of pro membership,"Wed, Sep 11, 2024 7:41 AM"
Pro,Pro Membership Recurring Date,Recurring date of pro membership,"Wed, Sep 11, 2024 7:41 AM"
Pro,Pro Recurring Payment,Boolean value to get status of recurring payment status,"[yes,
no]"
Pro,Pro Charge Amount,Charge amount of pro membership,1234.23
Pro,Pro Charge Currency,Charge currency of pro membership,INR
Pro,Pro Email,Email ID with which pro membership has been bought,user.name@domain.com
Pro,Pro Conversion ID,Conversion ID of pro membership,"""123456"""
Device,Device Type,The type of device being used,"[Mobile,
Tablet, 
Desktop]"
Device,Model,The specific model of the device,"[""Samsung Galaxy S24, 
iPhone 14""]"
Interaction,Filter Property Type,The type of filter applied by the user,"Person_Search, [updated: person_name]
City [updated: city]
State:  [updated: state]
Angel_Investor:  [updated: is_angel_investor]
Stealth: [updated: is_under_stealth]
Total_Experience: [updated: years_of_experience_min, years_of_experience_max]
Current_Organisation: [updated: organisation]
Current_Sector: [updated: current_sector]
Current_Seniority: [updated: current_seniority]
Current_Function: [updated: current_function]
Current_Tenure: [updated: current_tenure_min, current_tenure_max]
Past_Seniority: [updated: past_seniority]
Past_Function: [updated: past_function]
Past_Sector: [updated: past_sector]
Highest_Qualification: [updated: highest_qualification]
Institution: [updated: institution]
Degree_Name: [updated: degree_name]
Invested_Company: [updated: invested_company]
Invested_Sector: [updated: investment_sector]
Investment_Type: [updated: investment_type]
Investment_Stage: [updated: invested_stage]
Investor_Investment_Count_Min: [updated: investor_investment_count_min]
Investor_Investment_Count_Max:  [updated: investor_investment_count_max]
Exit_Count_Min: [updated: exit_count_min]
Exit_Count_Max: [updated: exit_count_max]
Portfolio_Count_Min: [updated: count_of_portfolio_companies_min]
Portfolio_Count_Max: [updated: count_of_portfolio_companies_max]


Suggested_Search

headcount_change_Last_3_Month
web_traffic_last_3_month
glassdoor_rating_overall
glassdoor_rating_culture
glassdoor_rating_diversity
glassdoor_rating_work_life_balance
glassdoor_rating_senior_management
glassdoor_rating_compensation
glassdoor_rating_career_opportunity
glassdoor_rating_friend_recommendation
glassdoor_rating_CEO_approval

traffic_monthly_visits
traffic_visit_duration
traffic_pages_per_visit
traffic_bounce_rate
traffic_split_direct
traffic_split_organic
traffic_split_paid
traffic_split_referrals
traffic_split_display
traffic_split_social
traffic_split_email

Total_Revenue_Min
Total_Revenue_Max
Net_Profit_Margin_Min
Net_Profit_Margin_Max
Total_Expense_Min
Total_Expense_Max
Profit_Before_Tax_Min
Profit_Before_Tax_Max
Profit_After_Tax_Min
Profit_After_Tax_Max
Total_Tax_Expense_Min
Total_Tax_Expense_Max

funding_type
funding_date_min
funding_date_max
amount_raised_min
amount_raised_max
investor_count_min
investor_count_max
funded_company_name
funded_sector
funded_city
funded_state
investor_names
investor_type

acquisition_date_min
acquisition_date_max
acquisition_amount_min
acquisition_amount_max
acquisition_type
acquirer_name
acquirer_sector
acquirer_type
acquirer_city
acquirer_state
acquiree_name
acquiree_sector
acquiree_type
acquiree_city
acquiree_state

Company_Search
Founded_Date_min
Founded_Date_max
Company_Sector
Company_Sub_Sector
Company_Sub_Sector_1
Company_Sub_Sector_2
City
State
Country
Founder_Count_Min
Founder_Count_Max
Team_Size_Min
Team_Size_Max
Investor_Name
Amount_Raised_In_USD_Min
Amount_Raised_In_USD_Max
Last_Funding_Type
Last_Funding_Amount_Min
Last_Funding_Amount_Max
Last_Funding_Date_From
Last_Funding_Date_To
Funding_Round_Count_Min
Funding_Round_Count_Max
Investor_Count_Min
Investor_Count_Max
Company_Investment_Stage (Funding_Stage)
Company_Type
Company_Investment_Count_Min
Company_Investment_Count_Max
Total_Investment_Amount_Min
Total_Investment_Amount_Max
Last_Investment_Date_From
Last_Investment_Date_To
Acquisition_Count_Min
Acquisition_Count_Max
Total_Acquisition_Amount_Min
Total_Acquisition_Amount_Max
Last_Acquisition_Date_From
Last_Acquisition_Date_To

Investor_Search
Investor_Type
Investor_Investment_Count_Min
Investor_Investment_Count_Max
Exit_Count_Min
Exit_Count_Max
Portfolio_Count_Min
Portfolio_Count_Max
Invested_Sector
Investment_Type
Investment_Stage
Invested_Company

Report_Sector
Report_Type
Publishing_Year
"
Interaction,Filter Property Value,The value selected for the applied filter,"Person_Search : {Kunal Shah}
City: {Bangaluru}
State:  {Karnataka}
Angel_Investor: {Yes, No}
Stealth: {Yes, No}
Total_Experience: {1}
Current_Organisation: {Zomato}
Current_Sector: {Ecommerce}
Current_Seniority: {Founder}
Current_Function: {Accounting}
Current_Tenure_Min: {3}
Current_Tenure_Max: {3}
Past_Seniority: {Founder}
Past_Function: {Accounting}
Past_Sector: {Ecommerce}
Highest_Qualification: {Bachelors}
Institution: {IIT Bombay}
Degree_Name: {B.Com}
Invested_Company: {Flipkart}
Invested_Sector: {Ecommerce}
Investment_Type: {Seed}
Investment_Stage:  {Seed Stage}
Investor_Investment_Count_Min: {2}
Investor_Investment_Count_Max: {5}
Exit_Count_Min: {2}
Exit_Count_Max: {8}
Portfolio_Count_Min: {8}
Portfolio_Count_Max: {10}

Suggested_Search : {Profitable Startups}

funding_type : {Seed}
funding_date_min : {01/01/2025}
funding_date_max : {08/04/2025}
amount_raised_min : {1000}
amount_raised_max : {100000}
investor_count_min : {2}
investor_count_max : {5}
funded_company_name : {Flipkart}
funded_sector : {Fintech}
funded_city : {Gurgaon}
funded_state : {Haryana}
investor_names : {Accel}
investor_type : {Venture Capital}

acquisition_date_min : {01/01/2025}
acquisition_date_max : {01/01/2025}
acquisition_amount_min : {01/01/2025}
acquisition_amount_max : {01/01/2025}
acquisition_type : {Acqui-Hire}
acquirer_name : {Flipkart}
acquirer_sector : {Ecommerce}
acquirer_type : {Series D}
acquirer_city : {Bangalore}
acquirer_state : {Karnataka}
acquiree_name : {Myntra}
acquiree_sector : {Ecommerce}
acquiree_type : Series A}
acquiree_city : {Gurgaon}
acquiree_state : {Haryana}

Company_Search : {Flipkart}
Founded_Date_min : {2012}
Founded_Date_max : {2023}
Company_Sector : {Ecommerce}
Company_Sub_Sector : {Vertical Marketplace}
Company_Sub_Sector_1 : {F&B}
Company_Sub_Sector_2 : {Gifts}
City : {Bangaluru}
State : {Karnataka}
Country : {India}
Founder_Count_Min : {1}
Founder_Count_Max : {2}
Team_Size_Min : {50}
Team_Size_Max : {1000}
Investor_Name : {Seqoia Capital}
Total_Funding_Amount_Min : {10000000}
Total_Funding_Amount_Max : {50000000}
Last_Funding_Type : {Series A}
Last_Funding_Amount_Min : {1000000}
Last_Funding_Amount_Max : {5000000}
Last_Funding_Date_From : {01-01-2012}
Last_Funding_Date_To : {31-12-2023}
Funding_Round_Count_Min : {2}
Funding_Round_Count_Max : {10}
Investor_Count_Min : {1}
Investor_Count_Max : {4}
Total_Revenue_Min : {10000}
Total_Revenue_Max : {100000}
Net_Profit_Margin_Min : {5}
Net_Profit_Margin_Max : {10}
Company_Investment_Count_Min : {2}
Company_Investment_Count_Max : {5}
Funding_Stage : {Seed Stage}
Company_Type : {Funded}
Investment_Amount_Min : {1000}
Investment_Amount_Max : {10000}
Last_Investment_Date_From : {01-01-2024}
Last_Investment_Date_To : {30-01-2024}
Acquisition_Count_Min : {1}
Acquisition_Count_Max : {3}
Acquisition_Amount_Min : {1000}
Acquisition_Amount_Max : {100000}
Last_Acquisition_Date_From : {01-01-2024}
Last_Acquisition_Date_To : {30-01-2024}

Investor_Search : {Kunal Shah}
Investor_Type : {Angel}
Investor_Investment_Count_Min : {2}
Investor_Investment_Count_Max : {5}
Exit_Count_Min : {1}
Exit_Count_Max : {4}
Portfolio_Count_Min : {2}
Portfolio_Count_Max : {5}
Invested_Sector : {Ecommerce}
Investment_Type : {Seed}
Investment_Stage : {Seed Stage}
Invested_Company : {Flipkart}

Report_Sector : {Fintech, Ecommer, Agritech}
Report_Type : {Ecosystem Report, Funding Report}
Publishing_Year : {2024, 2023, 2022}"
Interaction,Customise Column Properties,List of customized column fields applied by use in the data table view.,"[""List of column names""]"
Interaction,Advanced Filter State,The state of advanced filter view on search page,"[True,
False]"
Interaction,Table Name,The name of the table being viewed or interacted with.,"[Company Search,
Investor Search,
Funding Search,
Acquisition Search,
Company List,
My List,
Company Saved Search
People Search]"
Interaction,Table Sort Column Name,The column by which the table is being sorted.,"Name of column on which sorting action is performed. Example
List View : ""Amount Raised""
Card View : ""Total Funding : High to Low"""
Interaction,Lock Type,The type of freewall that is shown to users,"Short Lock
Long Lock"
Interaction,Lock Interaction ,The type of freewall that is shown to users,"Load
Click"
Interaction,Trial Type,Type of trial offered to user,14 days_without CC_50 credits
Interaction,Trial Stage,The present stage of user in pro trial,"Trial_Started
Reminder_Popup1
Reminder_Popup2
Trial_End_Confirmation
Trial_End_Confirmed"
Interaction,Table Sort Orderby,The sorting order of the table ,Sort by ascending or descending order
Interaction,Data Type,The type of data being interacted with,"[Company, 
Contact
Investor,
All]"
