ID,Priority,Workstream,Task,Why it matters,Size,Done when,Owner,Status,Blocked by
A1,P0,Stop the bleeding,Fix silent expiry (requires_manual_renewal / null next_payment_date),"Subscription expires with no debit ever attempted. 100% correlation across all 27 expired trials and all 5 expired payers.",M,No live subscription has a null next-payment date with an active mandate,,Not started,
A2,P0,Stop the bleeding,Rescue the 14 already-detached subscriptions,"9 live subs (~Rs 15919/mo at risk) + 5 of 25 current trials will never be charged. These die whether or not A1 ships.",S,All 14 repaired or contacted,,Not started,
A3,P0,Stop the bleeding,Close RECURRING_TOKEN_NOT_CONFIRMED,"30% of first-charge failures. All 14 rows UPI; all had Rs 10 captured 5-6 days earlier. Notion says activation gate shipped but data shows it firing on 21 Jul - verify.",M,Zero occurrences for 30 consecutive days,,Not started,
A4,P0,Stop the bleeding,Suppress dunning on paused mandates,"Paused mandates are alive. Sending 're-authorize' to someone who deliberately paused is the worst message in the system.",S,Paused state branches before any dunning fires,,Not started,
A5,P0,Stop the bleeding,Fix retry promise in live transactional copy,"Copy says 'we'll retry automatically' and cites '2 retries over 48h'. That flow does not exist.",S,Copy matches system behaviour,,Not started,
B3a,P0,Retry system,Confirm whether WCS automatic retry is enabled at all,"WCS ships retry OFF by default. Zero retries across 47 failures is what a disabled system looks like. May be a setting not a build.",XS,Setting state confirmed in writing,,Not started,
B3b,P0,Retry system,Confirm PDN-on-retry mechanics with Razorpay,"Every UPI debit needs a pre-debit notification 24h ahead. Determines whether Razorpay auto-fires it or we trigger it. Sets minimum retry interval.",XS,Answer received from Razorpay,,Not started,
B3c,P0,Retry system,Implement retry eligibility by failure code,"30% of failures are dead mandates. Retrying them is pure noise and generates cancel prompts. Insufficient balance = retry; token-not-confirmed / cancelled / expired = never.",S,Eligibility rules live and unit tested,,Not started,B3a
B3d,P0,Retry system,Implement schedule with hard cap and grace stop,"Attempt 1 day 7; +3d; +7d; next salary window (1st-3rd). Stop at 4 attempts or 15-day grace deadline. Indian salary credits cluster month-end - timing to it beats a fixed 48h cadence.",M,Schedule live with cap enforced,,Not started,B3b;B3c
B3e,P0,Retry system,Add attempt-level logging,"111 of 113 billing cycles have exactly one attempt recorded. Log attempt no. / timestamp / PDN sent at / failure code / outcome. Without it the schedule cannot be tuned.",S,Every attempt writes a row,,Not started,
B3f,P0,Retry system,Implement stop conditions,"Paid / mandate dead / grace expired / max attempts reached.",S,All four conditions halt the loop,,Not started,B3d
C1,P1,Detection,Wire the token.cancelled webhook,"Revocations surface via polling today. In 0 of 91 cases did we record the revocation before the next charge already failed. The entire winback window is thrown away.",M,Revocation recorded same-day before any charge attempt,,Not started,
C2,P1,Detection,Handle paused as a first-class state,"Branch on pause_initiated_by. Self-pause suppresses dunning and schedules a resume-date nudge. Paused mandates outnumber cancellations.",M,Pause state handled end to end,,Not started,C1
C3,P1,Detection,Read all three note sources in any churn query,"93 'customer cancelled' notes sit on parent orders and 17 on renewal orders with no counterpart on the subscription record. Reading subscription notes alone misses 110 cancellations.",S,Query reads subscription + parent order + renewal order notes,,Not started,
D1,P1,Data,Pull distinct subscription count behind the 263 paused notes,"263 is note occurrences from a repeating poll not 263 people. Sizes the best list in the system.",XS,Distinct count in hand,,Not started,
D2,P1,Data,Split all four lists by trial vs payer,"Value per head differs enormously and decides effort allocation.",XS,Four lists segmented,,Not started,D1
D3,P1,Data,Confirm whether PDN send timestamps are logged,"Cancel-vs-PDN timing is the most diagnostic test available. If not logged start logging today.",XS,Answer confirmed; logging started if absent,,Not started,
D4,P1,Data,Get Razorpay token state history with timestamps,"Current-state-only data answers no timing question.",S,History available for the cohort,,Not started,
