id,date,title,url,development_type,primary_industry,primary_company,second_company,parent_category,story_type,company_type,shelf_life,user_needs,impact_score
571343,2026-09-04T21:40:11,SUGAR Cosmetics Raises ₹145 Cr From A91 At A Near 80% Valuation Cut,https://inc42.com/buzz/sugar-cosmetics-raises-%e2%82%b9145-cr-from-a91-at-a-near-80-valuation-cut/,Startup Funding & Investments,,sugar,,News,Spot News,Growth Stage Startup,3 Days,Inform Me,0.538
571319,2026-09-04T19:39:37,Inside Urban Company’s Marketplace Model: What It Earns From Every Booking,https://inc42.com/features/inside-urban-companys-marketplace-model-what-it-keeps-from-every-booking/,,,urban-company,,In-Depth,Others,Listed Startup,3 Days,Give Me Perspective,0.475
571334,2026-09-04T19:33:24,"Innoviti Slashes FY26 Loss By 57% To ₹26.7 Cr, Revenue Dips By 17%",https://inc42.com/buzz/innoviti-slashes-fy26-loss-by-57-to-%e2%82%b926-7-cr-revenue-dips-by-17/,Startup Financials,,innoviti,,News,Spot News,Late Stage Startup,3 Days,Inform Me,0.525
571222,2026-09-04T17:06:12,[Update] ESDS Shares End Market Debut 112% Above Issue Price On NSE,https://inc42.com/buzz/esds-software-makes-stellar-debut-lists-at-76-premium-on-nse/,Startup IPO,,tbd,,News,Others,Listed Startup,3 Days,Inform Me,0.65
571276,2026-09-04T16:07:01,"Flipkart Minutes Could Add 1,000 Dark Stores By Mid-2027: UBS",https://inc42.com/buzz/flipkart-minutes-could-add-1000-dark-stores-by-mid-2027-ubs/,Business Updates,,flipkart,,News,Others,Late Stage Startup,3 Days,Inform Me,0.333
571275,2026-09-04T15:58:44,D2C Sneaker Brand Comet Raises ₹100 Cr To Expand Offline Presence,https://inc42.com/buzz/d2c-sneaker-brand-comet-raises-%e2%82%b9100-cr-to-expand-offline-presence/,Startup Funding & Investments,,comet,,News,Spot News,Early Stage Startup,3 Days,Inform Me,0.468
571270,2026-09-04T15:42:06,"Ola Electric Opens First Dealer-Led Stores, Eyes 500-Outlet Network",https://inc42.com/buzz/ola-electric-opens-first-dealer-led-stores-eyes-500-outlet-network/,Business Updates,,ola-electric,,News,Others,Listed Startup,3 Days,Inform Me,0.37
571262,2026-09-04T15:21:10,"OpenAI Rolls Out GPT-6 Astra, Its ‘Most Capable Model’ Yet",https://inc42.com/buzz/openai-rolls-out-gpt-6-astra-its-most-capable-model-yet/,Business Updates,,TBD,,News,Others,International Company,3 Days,Inform Me,0.258
571251,2026-09-04T13:46:53,Medulance Raises ₹24 Cr To Expand Emergency Response Network,https://inc42.com/buzz/medulance-raises-%e2%82%b924-cr-to-expand-emergency-response-network/,Startup Funding & Investments,,medulance,,News,Others,Early Stage Startup,3 Days,Inform Me,0.437
571238,2026-09-04T12:34:37,"WhatsApp Takes On PhonePe, Google Pay With Bill Payments In India",https://inc42.com/buzz/whatsapp-takes-on-phonepe-google-pay-with-bill-payments-in-india/,Business Updates,,TBD,,News,Others,International Company,3 Days,Inform Me,0.258
