User property (name as it is live today),Priority,Action,What Media stores today,In PostHog - Inc42 Live (53557),In Customer.io - Inc42 workspace (208301),Where to change it,What exactly to do,Done when,Where this row came from
SECTION 1 - NEEDS A FIX OR A DECISION,,,,,,,,,
Person ID (the ID Media identifies a reader by),P1,Fix,"BROKEN. 122,076 of the IDs Media uses to identify a reader are the reader's own email address typed straight into the ID field. Only 1,192 are the number from the Inc42 user database, and 1,138 are the long text ID from the login system. Because the ID is an email, the same person gets a new profile whenever the email changes, and the email is copied into every place the ID is stored.","10,523,208 IDs in total; 122,076 are email addresses",Profiles are keyed on cio_id; the 'id' field is empty on profiles we sampled,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Send the number from the Inc42 user database as the reader's ID. Send the email as an ordinary field called email, not as the ID. Do not remove the old email-based IDs until the new ID is live and the two have been linked, or history will split in two.","A signed-in reader opened in PostHog shows a number as the ID, and their email only in the email field. New profiles created after the change have no email in the ID.","Newly found by this audit (8 Sep). Related to your sheet row 6, user_id."
Email  /  email,P1,Merge,"Two separate fields hold the same email. 34,220 people have only 'Email' (capital E), 82,163 have only 'email', and 10,755 have both. Both are live: 'Email' is used by 2 audience groups and 4 campaigns, 'email' by 3 audience groups and 5 campaigns. Deleting either one today would silently drop tens of thousands of addresses and break live sends.","Email 44,970 people (74 empty); email 92,917 people (0 empty)","Both present. Email -> groups 'AI Summit Application Completed', 'NL Automation Test'; campaigns DRS 2026 Pre Register, DRS 2026 Priority Pass, AI Summit Cart Abandoner, DRS 2026 Waitlist. email -> groups 'Valid Email Address', 'Invalid Email Address', 'NL Automation Test'; campaigns All Inc42 Newsletter Onboarding, Test WA, D2C Summit 2026, Inc42 DB 20th June, Retreat test.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Keep 'email' as the one field. First copy every address that exists only in 'Email' across to 'email' (34,220 people). Then move the 2 audience groups and 4 campaigns that read 'Email' over to 'email'. Only after both are done, stop writing 'Email' and remove it. Do not start at the removal step.","'Email' has no audience group and no campaign attached to it in Customer.io, and the count of people with an email in 'email' has gone up by about 34,000.",Newly found by this audit (8 Sep). Your sheet row 34 said 'stop alias Email' without the ordering.
Registeration Status  (spelling mistake)  /  Registration Status,P1,Fix,"The field name is misspelt and the misspelt one is the bigger of the two. 55,407 people have ONLY the misspelt 'Registeration Status'. 21,758 have only the correct 'Registration Status', 7,767 have both. The two also hold different words: the misspelt one holds 'registered' and 'Yes', the correct one holds 'registered'.","Registeration Status 63,174 people; Registration Status 29,522 people","Only the correctly spelt 'Registration Status' exists, and it is used by the audience group 'Subscribed to Topic 1-6 and Registered'. The misspelt one never reached Customer.io.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Copy the value from the misspelt field to the correctly spelt one for the 55,407 people who only have the misspelt one, converting 'Yes' to 'registered' as you go. Then stop writing the misspelt name and remove it. Use only the word 'registered' from now on - never 'Yes'.","PostHog no longer has a field called 'Registeration Status', and 'Registration Status' is on about 85,000 people with only the word 'registered' in it.","Your sheet row 27 (Delete). Corrected here - a plain delete loses 55,407 people."
User ID  /  UID,P1,Fix,"Two fields hold the same thing, and neither holds what it should. Both store the long text ID from the login system, in the form google-oauth2|1145629395177... 6,336 people have only 'User ID', 19,141 have only 'UID', 10,447 have both. Nowhere on Media is the reader's number from the Inc42 user database stored.","User ID 16,782 people; UID 29,585 people","Both present, neither used by any audience group or campaign","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Decide one field name and keep it - 'uid' is the one your sheet already agreed. Put the number from the Inc42 user database in it. Keep the login system's long text ID too, but in its own separate field named auth_provider_id, so the two are never confused. Then stop writing the other name.","A signed-in reader in PostHog shows a number in uid, and the google-oauth2 text only in auth_provider_id. Only one of the two old names still exists.",Your sheet rows 6 and 35.
Seniority,P1,Fix,"93,741 people have the field but 61,996 of them have nothing in it - 66% empty. Real coverage is about 31,700 people, not 93,741. The values that are filled in are not from the 9 agreed levels: live values include 'Founder', 'Junior Management', 'Student', 'VP/Senior Management', 'Other' and the literal word 'undefined'.","93,741 people, 61,996 empty (66%)","Present, no audience group or campaign uses it","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Write down the 9 agreed levels somewhere the developer can see them - they are referred to everywhere and written down nowhere. Change the profile form so it can only send one of those 9. Stop sending the word 'undefined' - leave the field empty instead. Then do a one-time clean-up mapping the existing values onto the 9 levels.,"Every value in Seniority is one of the 9 agreed levels, the word 'undefined' appears zero times, and the 'people with a value' count matches the 'people with the field' count.","Your sheet row 9. Correction: your sheet's 89,354 counts people who have the field, not people who have a value."
Designation,P1,Fix,"103,188 people have the field but 77,526 have nothing in it - 75% empty, the worst on Media. The values that exist are written two different ways at once: dashed lower case ('founder', 'senior-management', 'junior-management', 'student') and normal words ('Founder'). So the same job is counted twice.","103,188 people, 77,526 empty (75%)","Present, no audience group or campaign uses it","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Pick one way of writing these values and use it everywhere. Change the form so it sends only the agreed list. Stop sending 'undefined'. Then do a one-time clean-up so 'founder' and 'Founder' become the same value.,"A count of Designation values in PostHog shows each job once, not twice, and no value contains a dash or the word 'undefined'.",Your sheet row 44 said Keep. Corrected here - it is 75% empty and holds two spellings of the same value.
Phone Number  /  phone,P1,Fix,"32,752 people have the field, 22,594 of them have nothing in it - 69% empty. Of the ones that are filled, many are not phone numbers at all: the empty form mask '(___) ___-____', the sample number '(999) 999-9999', and test values '9999999999' and '1234567890'. Customer.io also has a second, separate field called 'phone'.","Phone Number 32,752 people, 22,594 empty (69%)",Two fields: 'Phone Number' and 'phone'. Neither is used by an audience group or campaign.,"Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Stop sending the form mask and the sample number - if the reader has not typed a real number, leave the field empty. Store every number the same way, as +91 followed by the 10 digits. Keep one field name only, and copy anything in Customer.io's 'phone' into it before removing 'phone'.","No value in Phone Number contains a bracket or an underscore, every value starts with +, and Customer.io has one phone field, not two.",Your sheet row 7.
Personal Email,P1,Fix,"This field is being used for two different things at the same time. On most of the 84,897 people it holds the word 'yes' or 'no'. On others it holds an actual email address. So a field the team treats as a yes/no flag is quietly carrying real email addresses, and it is not marked as personal data in Customer.io.","84,897 people, 1 empty","Present, not marked as personal data (privacy level 0), no description, no audience group or campaign uses it","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Decide what this field is. If it is a yes/no flag, rename it to something that says so (for example has_personal_email) and stop letting an address be written into it. If it is meant to hold an address, keep it as an address field and mark it as personal data in Customer.io. Either way, the addresses sitting in it now must be moved or removed in a one-time clean-up.","Every value in Personal Email is the same kind of thing - all yes/no, or all addresses - and no field holds both.","Your sheet row 28 (Delete, 'values are yes/no'). Corrected here - real email addresses are in it too."
Work Email  /  work_email,P1,Fix,"Same problem as Personal Email. 29,585 people, holding 'yes', 'no' and the word 'undefined'. It is named like an address field but used as a flag, and it is not marked as personal data.","Work Email 29,585 people; work_email 1 person (a test account)","Present, not marked as personal data, no audience group or campaign uses it","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Decide the same way as Personal Email - flag or address, not both - and rename it to match. Stop sending 'undefined'. Remove the one-person lower-case copy 'work_email'.","Every value in Work Email is the same kind of thing, the word 'undefined' appears zero times, and 'work_email' no longer exists.",Your sheet row 29 (Delete). Corrected here - decide the meaning first.
