property,source,needs_sync?,action,event_vs_user,data_comments,marketing_cio,marketing_posthog,final_field,final_fix
distinct_id (person ID),"PostHog-Media, CIO-Media",→ push to CIO (Low — system/identity field),FIX,"USER ✓ — but it is carrying an email, which is PII in the key",Send the numeric Inc42 user id as the person ID; email stays a normal attribute,cio_id is the key; the 'id' identifier is empty on sampled profiles,"73,804 of 1,157,448 IDs created since 1 Jan 2025 are raw email addresses; only 416 numeric, 31 auth0 — a LIVE defect, not legacy",user_id,"1. Standardise — Emit the numeric user id as distinct_id on both surfaces
2. Merge/delete — Alias old email-keyed persons to the new id before retiring them — do not drop, history splits
3. Fill check — Target 100% numeric on new sign-ins; today 0.04%"
UID,"PostHog-Media, CIO-Media",on both — apply same rename on both,FIX,USER ✓,"Rename → uid, but it must hold the numeric id, not the auth0 string",present,"28,329 since 2025 (29,585 all-time); holds google-oauth2|… not a number",uid,"1. Standardise — Rename 'UID' → uid on both
2. Merge/delete — Keep the auth0 string in its own auth_provider_id; 17,914 have UID only, 10,415 have both UID and User ID
3. Fill check — OK on fill (99.99%), FAIL on value type"
User ID,"PostHog-Media, CIO-Media",on both — apply same rename on both,FIX,USER ✓,"Duplicate of UID — same auth0 string, different name",used by no segment,"16,726 since 2025 (16,782 all-time); 6,311 have User ID only",user_id,"1. Standardise — Rename 'User ID' → user_id
2. Merge/delete — Merge with uid — one holds the numeric id, one the auth0 string; today both hold the same string
3. Fill check — OK on fill, FAIL on value type"
id,CIO-Media,—,DELETE,"EVENT-shaped ⚠ — it is an identifier, not a trait",DL grid deletes this; Media must rebuild 2 segments first,"⚠ empty on sampled profiles, yet segments 'Have a Mobile Device' / ""Doesn't have a Mobile Device"" are built on it",not in PostHog,—,"1. Standardise — Do not rename — retire
2. Merge/delete — Rebuild both mobile-device segments on phone_number BEFORE deleting; they are targeting on an empty field today
3. Fill check — Segment sizes must match the count of readers with a phone number"
anonymous_id,CIO-Media,—,KEEP,USER ✓,Customer.io's own pre-identify key — plumbing,auto-written,not in PostHog,anonymous_id,"1. Standardise — No rename
2. Merge/delete — —
3. Fill check — n/a — vendor field"
email,"PostHog-Media, CIO-Media",on both — apply same rename on both,KEEP,USER ✓,Keep → email (canonical id) — same decision as DL grid,"present; feeds segments 'Valid Email Address', 'Invalid Email Address' and 5 campaigns","25,175 since 2025 (92,917 all-time), 0% empty — but SMALLER than 'Email' on recent readers",email,"1. Standardise — Keep as email on both
2. Merge/delete — Fold 'Email' in — see next row
3. Fill check — OK — 0% empty"
Email,"PostHog-Media, CIO-Media",on both — apply same rename on both,MERGE,USER ✓,"Rename → email. On Media this capital-E field is the BIGGER of the two on recent readers, unlike DL","present; feeds segments 'AI Summit Application Completed', 'NL Automation Test' and 4 DRS/AI-Summit campaigns","41,818 since 2025 vs 25,175 on 'email'; 33,077 recent readers have ONLY this one",email,"1. Standardise — Find the live code writing 'Email' and point it at email — it is still writing today
2. Merge/delete — Copy the 33,077 recent (34,220 all-time) addresses that exist only here into email, then move the 2 segments + 4 campaigns, THEN delete
3. Fill check — OK — 2 empty out of 41,818"
First Name,"PostHog-Media, CIO-Media",on both — apply same rename on both,FIX,USER ✓,Rename → first_name; stop writing the literal string 'undefined',present; a campaign named 'test' reads first_name,"31,443 since 2025, 6,973 empty (22%)",first_name,"1. Standardise — Rename 'First Name' → first_name on both
2. Merge/delete — Delete the 1-person lowercase twin 'first_name'
3. Fill check — FAIL — 22% empty and 'undefined' stored as a value"
Last Name,"PostHog-Media, CIO-Media",on both — apply same rename on both,FIX,USER ✓,Rename → last_name; stop writing 'undefined',present,"31,704 since 2025, 8,013 empty (25%)",last_name,"1. Standardise — Rename 'Last Name' → last_name on both
2. Merge/delete — Delete the 1-person lowercase twin 'last_name'
3. Fill check — FAIL — 25% empty; count is ~250 higher than First Name, so names are written apart"
Full Name,"PostHog-Media, CIO-Media",on both — apply same rename on both,FIX,USER ✓,Rename → full_name; 'undefined undefined' has been emailed to readers as their name,present,"31,066 since 2025, 4,307 empty (14%)",full_name,"1. Standardise — Rename 'Full Name' → full_name on both
2. Merge/delete — Fold 'Name' in — see next row
3. Fill check — FAIL — holds 'undefined undefined'"
