slug,exists,employees,emp_3m_change,last_funding_amount,total_funding_str,total_revenue,revenue_yoy,revenue_year,traffic_1m_change,investors_n,last_funding_stage,pnl,err
30-sundays,True,192,12.28,7470000,7470000,14490000,282.32,₹1.4 Cr+ (FY25),-29.95,5,Growth Stage,true,
3one4-capital,True,45,-2.17,,,,,,-9.79,0,,false,
4basecare,True,334,4.38,22800000,22800000,142738000,,₹14.3 Cr+ (FY25),148.59,7,Growth Stage,true,
91trucks,True,161,,5000000,5000000,338200000,234.36,₹33.8 Cr+ (FY25),,4,Growth Stage,true,
accel-atoms,True,1415,1.51,,,,,,8.64,0,,false,
adani-group,True,21990,4.8,,,,,,-11.19,0,,false,
aequs,True,2304,3.69,112602884,112602884,1783900000,,₹178.4 Cr+ (FY26),-35.95,9,,true,
aeron-systems,False,,,,,,,,,,,,
agilitas-sports,True,195,7.14,91958190,91958190,343109000,24.15,₹34.3 Cr+ (FY25),-58.89,6,Growth Stage,true,
agnikul,True,333,5.71,78243144,78243144,77989100,,₹7.8 Cr+ (FY25),-1.61,31,Growth Stage,true,
aina,False,,,,,,,,,,,,
airbound,True,94,,47325000,47325000,,,,273.46,8,Growth Stage,false,
airtel-payments-bank,True,7117,2.02,,,,,,-3.89,0,,false,
alienkind,True,72,20,4400000,4400000,2579830,,₹25.8 Lakh+ (FY25),49.33,3,Growth Stage,true,
allhome,True,72,5.88,21200000,21200000,,,,-42.05,2,Growth Stage,false,
alteon,False,,,,,,,,,,,,
amagi,True,1349,1.5,320200000,320200000,10137600000,,"₹1,013.8 Cr+ (FY26)",-18.23,9,Late Stage,true,
amazon-global-selling,True,352,1.73,,,,,,14.97,0,,false,
amazon-pay-india,True,522,5.45,40985000,40985000,304913000000,19.14,"₹30,491.3 Cr+ (FY25)",0.88,1,,true,
amazon-smbhav-venture-fund,False,,,,,,,,,,,,
ambak,True,372,2.76,18313253,18313253,204312000,1491.57,₹20.4 Cr+ (FY25),-25.36,9,Growth Stage,true,
aminu,True,55,1.85,,,,,,12.69,0,,false,
anmasa,True,40,11.11,4200000,4200000,3246270,868.27,₹32.5 Lakh+ (FY25),,5,Early Stage,true,
aquapulse,True,28,3.7,4800000,4800000,228000000,,₹22.8 Cr+ (FY25),48.24,3,Growth Stage,true,
arboreal-stevia,True,62,,24000000,24000000,269200000,,₹26.9 Cr+ (FY24),-24.03,3,Growth Stage,true,
arisinfra-solutions-ltd,True,130,5.69,9185847,9185847,6954100000,23.24,₹695.4 Cr+ (FY26),,3,,true,
asaya,True,41,13.89,13645783,13645783,70902400,674.82,₹7.1 Cr+ (FY25),9.47,15,Growth Stage,true,
astrotalk,True,2498,4.83,34000000,34000000,11893700000,80.46,"₹1,189.4 Cr+ (FY25)",6.83,2,Growth Stage,true,
ather-energy,True,4475,3.85,574273559,574273559,23052000000,28.85,"₹2,305.2 Cr+ (FY25)",-0.84,14,Late Stage,true,
atomberg-technologies,True,1450,2.26,126494635,126494635,9959190000,15.19,₹995.9 Cr+ (FY25),3.89,13,Late Stage,true,
atomberg-technology,False,,,,,,,,,,,,
atyx.ai,error,,,,,,,,,,,,HTTP Error 308: Permanent Redirect
august-ai,True,38,-5,3000000,3000000,3787690,184.41,₹37.9 Lakh+ (FY25),-21.88,2,Early Stage,true,
aukera,False,,,,,,,,,,,,
aum-ventures,False,,,,,,,,,,,,
aurum-proptech,True,103,0.98,,,,,,10.36,0,,false,
autovrse,True,108,2.86,4403214,4403214,,,,,6,Late Stage,false,
avanse-financial-services,False,,,,,,,,,,,,
avataar,True,136,1.49,52000000,52000000,70878000,,₹7.1 Cr+ (FY25),-63.7,2,Growth Stage,true,
avendus-wealth-management,False,,,,,,,,,,,,
awfis,True,1007,3.49,143411616,143411616,13220300000,5.23,"₹1,322.0 Cr+ (FY26)",46.23,9,Late Stage,true,
aye-finance,True,3797,,498326869,498326869,,,,-28.97,33,Late Stage,false,
babymd,True,67,6.35,5100000,5100000,14647900,1041.98,₹1.5 Cr+ (FY25),-33.28,5,Undisclosed,true,
battery-smart,True,1113,1.27,228091377,228091377,2175300000,221.46,₹217.5 Cr+ (FY24),22.56,26,Growth Stage,true,
batx-energies,True,61,7.02,17663625,17663625,342382000,45.51,₹34.2 Cr+ (FY25),-10.61,15,Growth Stage,true,
bct-ventures,False,,,,,,,,,,,,
be-clinical,True,12,9.09,3156535,3156535,,,,-32.15,9,Early Stage,false,
beco,True,238,2.15,13537342,13537342,1110460000,123.03,₹111.0 Cr+ (FY25),-3.18,24,Growth Stage,true,
berrylush,True,38,,,,495400000,12.74,₹49.5 Cr+ (FY24),0.66,0,,true,
bharat-matrimony,True,916,0.55,,,,,,7.06,0,,false,
bharatgen,True,88,,,,,,,-19.26,0,,false,
bharatpe,True,4094,1.89,882957638,882957638,11665500000,36.8,"₹1,166.5 Cr+ (FY25)",-1.53,25,Late Stage,true,
bigbasket,True,22983,3.01,1528591759,1528591759,79184600000,6.11,"₹7,918.5 Cr+ (FY24)",4.78,19,Late Stage,true,
bike-bazaar,True,834,-0.36,94594442,94594442,,,,,5,Late Stage,false,
biofuelcircle,True,302,4.5,18025239,18025239,518132000,67.92,₹51.8 Cr+ (FY25),88.99,5,Growth Stage,true,
bira-91,False,,,,,,,,,,,,
bira91,True,856,-1.61,295089530,295089530,6000790000,,₹600.1 Cr+ (FY24),161.15,18,Late Stage,true,
blackbuck,True,4800,0.95,381145000,381145000,7021300000,53.45,₹702.1 Cr+ (FY26),5.58,24,Late Stage,true,
blinkit,False,,,,,,,,,,,,
blissclub,True,141,10.16,40951442,40951442,921600000,27.79,₹92.2 Cr+ (FY24),,22,Bridge Stage,true,
bluegape,True,14,-6.67,1050000,1050000,,,,,6,Early Stage,false,
bluehill,True,18,-5.26,,,,,,-20.94,0,,false,
bluestone,True,2428,1.55,289009083,289009083,24904100000,91.06,"₹2,490.4 Cr+ (FY26)",8.38,26,Late Stage,true,
blusmart,True,1098,,224048800,224048800,1288210000,174.26,₹128.8 Cr+ (FY24),,43,Growth Stage,true,
boat,True,1741,3.2,176228551,176228551,30896400000,,"₹3,089.6 Cr+ (FY25)",7.65,7,Growth Stage,true,
bolna,True,51,6.25,6300000,6300000,,,,-12.25,7,Early Stage,false,
bombay-shaving-company,True,429,1.42,65068605,65068605,2488150000,14.5,₹248.8 Cr+ (FY25),-10.23,22,Late Stage,true,
bookmyshow,True,1528,-0.52,224500000,224500000,10100000000,28.51,"₹1,010.0 Cr+ (FY24)",-5.72,7,Late Stage,true,
built,False,,,,,,,,,,,,
businessnext,False,,,,,,,,,,,,
butterfly-learnings,True,392,9.19,13036331,13036331,154527000,143.65,₹15.5 Cr+ (FY25),-1.67,9,Bridge Stage,true,
byjus,True,19086,-0.71,6301900000,,35686400000,129.99,"₹3,568.6 Cr+ (FY22)",10.02,0,Undisclosed,true,
capillary-technologies,True,1308,-0.15,285915253,285915253,2224700000,,₹222.5 Cr+ (FY26),0.68,26,Late Stage,true,
cardekho,True,2641,0.99,752100000,752100000,10018000000,28.91,"₹1,001.8 Cr+ (FY25)",-1.48,24,Late Stage,true,
carpl,True,85,1.19,22000000,22000000,,,,,7,Growth Stage,false,
