event_group,event_name,display_name,property,trigger_steps,trigger_url,login_state,event_property_groups,custom_event_properties,trigger_identify_call,expected_traits,source,destinations,automatable,test_notes,description,audit_status,audit_date,audit_notes,Where to change it,What exactly to do,Done when
identity,distinct_id (the ID Media identifies a reader by),user_id,inc42,Open inc42.com signed out | register a new account | watch the identify call in PostHog Live Events and the new profile in Customer.io,"https://inc42.com/ (sign in, then open Profile)",logged-in,identity,user_id:string,Yes,user_id = the number from the Inc42 user database,web,neither,manual,"SINCE 1 JAN 2025: 1,157,448 IDs, of which 73,804 are email addresses, 416 are numbers and 31 are google-oauth2 text [all-time for contrast: 10,523,208 IDs, 122,076 emails, 1,192 numbers]","Send the number from the Inc42 user database as the reader's ID. Send the email as an ordinary field called email, never as the ID.",FIX,2026-09-08,"Current: among readers who joined since 1 Jan 2025, 73,804 of the IDs are the reader's own email address and only 416 are a number -> Expected: the number from the Inc42 user database, on every signed-in reader. This is a live problem, not a legacy one.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Send the number from the Inc42 user database as the reader's ID. Keep sending the email, but as the email field only. Do not remove the old email-based IDs until the new ID is live and the two are linked, or one person's history splits in two.",A signed-in reader opened in PostHog shows a number as the ID and their email only in the email field. Profiles created after the change have no email in the ID.
identity,User ID,auth_provider_id,inc42,Open inc42.com signed out | register a new account | watch the identify call in PostHog Live Events and the new profile in Customer.io,"https://inc42.com/ (sign in, then open Profile)",logged-in,identity,auth_provider_id:string,Yes,"auth_provider_id = the login system's own ID, kept separate from the user number",web,posthog | customerio,auto,"PostHog 'User ID' SINCE 1 JAN 2025: 16,726 people, 0 empty (0% of them empty) [all-time for contrast: 16,782 people, 0 empty] ; Customer.io 'User ID': present - not used by any audience group or campaign ; live values in 'User ID': google-oauth2|100935645785169208318 ~ ""google-oauth2|114005901754692111499"" ~ ""google-oauth2|104490498397544917057"" ~ ""google-oauth2|118171843607386838810"" ~ ""google-oauth2|107913841500019802918"" ~ ""l","Keep the login system's long text ID in its own field named auth_provider_id, and put the Inc42 user database number in uid. Today both User ID and UID hold the same text ID.",FIX,2026-09-08,"Current: holds google-oauth2|1145629395... ; among readers who joined since 1 Jan 2025, 6,311 have only User ID, 17,914 only UID and 10,415 both -> Expected: one field for the login ID, one for the user number.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Decide one name and keep it - your sheet already agreed uid. Put the number from the Inc42 user database in uid, and the google-oauth2 text in a new field auth_provider_id. Then stop writing the other name.","A signed-in reader shows a number in uid and the google-oauth2 text only in auth_provider_id, and only one of the two old names is left."
identity,UID,uid,inc42,Open inc42.com signed out | register a new account | watch the identify call in PostHog Live Events and the new profile in Customer.io,"https://inc42.com/ (sign in, then open Profile)",logged-in,identity,uid:string,Yes,uid = the number from the Inc42 user database,web,posthog | customerio,auto,"PostHog 'UID' SINCE 1 JAN 2025: 28,329 people, 1 empty (0% of them empty) [all-time for contrast: 29,585 people, 1 empty] ; Customer.io 'UID': present - not used by any audience group or campaign ; live values in 'UID': google-oauth2|114562939517737075418 ~ ""google-oauth2|101498810526691773974"" ~ ""google-oauth2|103559521346188676630"" ~ ""google-oauth2|108290391513345742937"" ~ ""google-oauth2|116784141456687192793"" ~ ""g","Same fix as User ID. UID is the name to keep, but it must hold the Inc42 user database number, not the login system's text ID.",FIX,2026-09-08,"Current: google-oauth2 text on 28,329 readers who joined since 1 Jan 2025 -> Expected: the user database number.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.",Write the number from the Inc42 user database into uid. Move the google-oauth2 text into auth_provider_id.,uid holds only numbers when checked on ten signed-in readers.
identity,id,id (Customer.io's own reference),inc42,Open any profile in Customer.io and read its identifiers,"https://inc42.com/ (sign in, then open Profile)",any,identity,id (Customer.io's own reference):string,Yes,id (Customer.io's own reference) = left as Customer.io writes it,customerio,customerio,manual,Customer.io 'id': present - audience groups: Have a Mobile Device | Doesn't have a Mobile Device,"Two live audience groups, 'Have a Mobile Device' and 'Doesn't have a Mobile Device', are built by testing this field. It was empty on the profiles checked, so those two groups are targeting the wrong people.",FIX,2026-09-08,Current: audience groups built on an empty field -> Expected: those groups built on the phone-number field.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes. And whoever owns those two audience groups.",Check how many people each of the two groups holds against how many readers actually have a phone number. Rebuild both groups on the phone-number field instead of on id.,Both groups are built on the phone-number field and their sizes match the number of readers who have a phone number.
contact,email,email,inc42,Open inc42.com signed out | register a new account | watch the identify call in PostHog Live Events and the new profile in Customer.io,"https://inc42.com/ (sign in, then open Profile)",logged-in,contact,email:string,Yes,"email = the reader's email address, lower case",web,posthog | customerio,auto,"PostHog 'email' SINCE 1 JAN 2025: 25,175 people, 0 empty (0% of them empty) [all-time for contrast: 92,917 people, 0 empty] ; Customer.io 'email': present - audience groups: Valid Email Address | Invalid Email Address | NL Automation Test; campaigns: All Inc42 Newsletter Onboarding | Test | Wa  | [Copy] Test | Wa  | [Copy] D2C Summit 2026 | Early bird | week 3 | WA | Inc42 DB | 20th June | Retreat test ; live values in 'email': dmchernyakova@yandex.ru ~ ""karman@decimlindia.com"" ~ ""sarita.kandari@razorpay.com"" ~ ""smriti_d25@iift.edu"" ~ ""koyaniumang007@gmail.com"" ~ ""charles.wheeldon@nexusgroup.co.uk""","This is the field to keep, but note it is the SMALLER of the two on recent readers - 25,175 people who joined since 1 Jan 2025 have it against 41,818 on the capital-E field. The work is on the capital-E copy.",KEEP,2026-09-08,"Current: correct -> Expected: unchanged, and about 34,000 addresses merged in from the capital-E field.",No change needed on this field itself.,Nothing on this field. See the row for 'Email' - that is where the merge happens.,n/a - no change to this field
contact,Email,email,inc42,Open inc42.com signed out | register a new account | watch the identify call in PostHog Live Events and the new profile in Customer.io,"https://inc42.com/ (sign in, then open Profile)",logged-in,contact,email:string,Yes,"email = merged into email, then removed",web,posthog | customerio,manual,"PostHog 'Email' SINCE 1 JAN 2025: 41,818 people, 2 empty (0% of them empty) [all-time for contrast: 44,970 people, 74 empty] ; Customer.io 'Email': present - audience groups: AI Summit Application Completed | NL Automation Test; campaigns: DRS 2026 | Pre Register | Payment Setup | DRS 2026 | Priority Pass | Final Payment link | AI Summit | Cart Abandoner | DRS 2026 | Join the Waitlist | (one time payment trigger) | DRS 2026 | linkedin setup ; live values in 'Email': kavya.agarwal25@gmail.com ~ ""ypooja1994@gmail.com"" ~ ""digifigma@gmail.com"" ~ ""tengrui@tanglinvp.com"" ~ ""blustenberger54@gmail.com"" ~ ""jobo.kuruvilla@oneindia.co.in""","A second email field, and on recent readers it is the BIGGER one: among people who joined since 1 Jan 2025, 33,077 have only this capital-E field, 16,434 only the lower-case one and 8,741 both. Both are being written by live code today. It must be merged in order, not deleted.",MERGE,2026-09-08,"Current: two email fields, both used by live sends -> Expected: one field, email.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Find which piece of code writes the capital-E field and change it to write the lower-case one - it is still writing today. Then copy every address that exists only in 'Email' across to 'email' (33,077 readers who joined since 1 Jan 2025, 34,220 all-time). Then move the 2 audience groups and 4 campaigns that read 'Email' onto 'email'. Only after all three are done, stop writing 'Email' and remove it. Do not start at the removal step.","The field 'Email' has no audience group and no campaign attached to it in Customer.io, and the count of people with an address in 'email' has gone up by about 34,000."
contact,Personal Email,has_personal_email OR personal_email - decide which,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,contact,has_personal_email OR personal_email - decide which:string,Yes,"has_personal_email OR personal_email - decide which = one thing only - a yes/no answer, or an address",web,posthog | customerio,manual,"PostHog 'Personal Email' SINCE 1 JAN 2025: 41,591 people, 1 empty (0% of them empty) [all-time for contrast: 84,897 people, 1 empty] ; Customer.io 'Personal Email': present - not used by any audience group or campaign ; live values in 'Personal Email': yes ~ ""no"" ~ ""rathnakars@gmail.com"" ~ ""punitha.munireddy@gmail.com"" ~ ""rohverma@gmail.com"" ~ ""shahrajn03@gmail.com""",This field is used for two different things at once. On most people it holds 'yes' or 'no'; on others it holds a real email address. It is not marked as personal data in Customer.io.,FIX,2026-09-08,"Current: 'yes', 'no' and real addresses in the same field -> Expected: one kind of value, and marked as personal data if it holds addresses.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Decide what this field is. If it is a yes/no answer, rename it so it says so and stop letting an address be written into it. If it is meant to hold an address, keep it as an address field and mark it as personal data in Customer.io. Either way the addresses sitting in it now must be moved or emptied in a one-time clean-up.","Every value in the field is the same kind of thing, and no field holds both a yes/no answer and an address."
contact,Work Email,has_work_email OR work_email - decide which,inc42,Sign in on inc42.com | open Profile | fill the field | save | watch the identify call in PostHog Live Events and the profile in Customer.io,https://inc42.com/profile/,logged-in,contact,has_work_email OR work_email - decide which:string,Yes,"has_work_email OR work_email - decide which = one thing only - a yes/no answer, or an address",web,posthog | customerio,manual,"PostHog 'Work Email' SINCE 1 JAN 2025: 28,329 people, 1 empty (0% of them empty) [all-time for contrast: 29,585 people, 1 empty] ; Customer.io 'Work Email': present - not used by any audience group or campaign ; live values in 'Work Email': no ~ ""yes"" ~ ""undefined""","Same problem as Personal Email. Holds 'yes', 'no' and the word 'undefined'. Named like an address field, used as a yes/no answer, not marked as personal data.",FIX,2026-09-08,"Current: 'yes', 'no', 'undefined' -> Expected: one kind of value, no 'undefined'.","Inc42 Media website (the code that sends reader details out), plus a one-time clean-up of existing records in PostHog and Customer.io.","Decide the same way as Personal Email - answer or address, not both - and rename it to match. Stop sending the word 'undefined'. Remove the one-person lower-case copy work_email.","Every value is the same kind of thing, the word 'undefined' appears zero times, and work_email no longer exists."
contact,Secondary Email,secondary_email,inc42,Open a Customer.io profile that has it and check where it came from,"https://inc42.com/ (sign in, then open Profile)",any,contact,secondary_email:string,Yes,secondary_email = a decision on whether Inc42 keeps a second address at all,customerio,customerio,manual,Customer.io 'Secondary Email': present - not used by any audience group or campaign,A third email field exists in Customer.io only. No audience group or campaign uses it and nobody has written down what it is for.,DECISION,2026-09-08,"Current: undocumented third email field -> Expected: a written decision to keep it with an owner, or remove it.","Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Find out who loads this and why. If nothing needs it, remove it. If something does, write one line against it in Customer.io saying what it holds.","The field either has a description naming its owner, or it no longer exists."
contact,Verified Email,verified_email,inc42,Open a Customer.io profile that has it and check where it came from,"https://inc42.com/ (sign in, then open Profile)",any,contact,verified_email:string,Yes,verified_email = a decision on whether it is still needed,customerio,customerio,manual,Customer.io 'Verified Email': present - not used by any audience group or campaign,"Customer.io only, no audience group or campaign uses it, no description. It is not clear whether this records that an address was confirmed or holds an address.",DECISION,2026-09-08,Current: undocumented -> Expected: a written decision with an owner.,"Customer.io, Inc42 workspace (208301) > Data index > Profile attributes.","Find out what this records. If it is a yes/no answer, rename it so it says so. If nothing reads it, remove it.","The field has a description naming its owner, or it no longer exists."
