BRIEF CARD COPY + PUSH  |  15 Inc42 articles in the 12 Sep 2026 brief window (11 Sep 07:00 to 12 Sep 07:00 IST)  |  Two card variants and two push variants per article
Written from the full article body, not the headline. 'Answered in' names where in the article the reader lands on the answer, so every hook is checkable and none of them promises something the story does not deliver.

#	Published headline (what the card shows today)	Link	Card copy variant 1	Answered in	Card copy variant 2	Answered in	Push 1 title	Push 1 body	Push 2 title	Push 2 body
1	[Update] RentoMojo IPO Ends With 72.88X Subscription, QIB Portion Booked 177X	https://inc42.com/buzz/rentomojo-ipo-subscription-hits-17-18x-on-final-day-niis-lead-demand/	Only Rs 150 Cr of RentoMojo's Rs 1,255 Cr IPO reaches the company. Where does the rest go?	Body, issue structure paragraph: an OFS of 2.73 Cr shares worth Rs 1,105.57 Cr	RentoMojo's profit jumped 142%. How much of it is a tax credit?	Body, final financials paragraph: Rs 36.6 Cr of the Rs 104.3 Cr PAT	RentoMojo's IPO: 72.88X	Only Rs 150 Cr of the Rs 1,255 Cr reaches the company. The rest is existing investors selling.	A 142% profit jump, part tax credit	RentoMojo's PAT hit Rs 104.3 Cr, Rs 36.6 Cr of it a tax credit. It lists on 17 September.
2	UPI MDR May Be Set At 40 Basis Points, Banks Could Get Largest Share: Report	https://inc42.com/buzz/upi-mdr-may-be-set-at-40-bps-banks-could-get-largest-share-report/	Last month the number being discussed was 5 to 7 bps. Now it is 40. What changed?	Body, comparison paragraph: earlier talks were 5-7 bps on transactions above Rs 2,000	If UPI stops being free, who actually collects the fee?	Body, paragraphs 2 and 3: issuing bank 16 bps, UPI app 12 bps, acquiring bank 12 bps	UPI's fee just got six times bigger	The MDR under discussion moved from 5-7 bps to about 40. You are not charged. Merchants above a threshold are.	Who gets paid when UPI charges	Issuing banks take 16 bps, your UPI app 12, the acquiring bank 12. The notification is weeks away.
3	Fintech Stocks Rally On Report Of 40 Basis Point MDR On UPI, Paytm Touches 52-Week High	https://inc42.com/buzz/fintech-stocks-rally-on-report-of-40-basis-point-mdr-on-upi-paytm-touches-52-week-high/	One fintech stock rose 16.9% today, and it was not Paytm.	Body, paragraph 2: Pine Labs closed up 16.9% at Rs 202.35	The brokerages modelled 15 to 30 bps. The report says 40.	Body, note under the Jefferies estimate	Pine Labs +16.9%, Paytm at a record	One MDR report repriced four fintech stocks. Paytm's intraday print was an all-time high, not a 52-week one.	Rs 2,200 Cr, says Bernstein	That is what an MDR on UPI could add to Paytm's EBITDA by FY30. Jefferies sees Rs 5,000-10,000 Cr for the sector.
4	GFF 2026: NPCI Unveils Unified Ticketing, Takes RuPay Credit Card On UPI To US, UAE	https://inc42.com/buzz/gff-2026-npci-unveils-unified-ticketing-takes-rupay-credit-card-on-upi-to-us-uae/	NPCI wants to retire the OTP. What replaces it?	Body, Tap on Phone and Passkey sections	Your RuPay credit card on UPI now works abroad. In how many countries?	Body, RuPay Credit Card on UPI International section: France, Mauritius, UAE, US	NPCI is retiring the OTP	Tap your card on a phone for payments up to Rs 5,000, or authenticate with Face ID. No SMS code.	RuPay on UPI goes to four countries	France, Mauritius, the UAE and the US, with live FX rates shown before you enter your UPI PIN.
5	Exclusive: Ultraviolette To Raise Rs 373 Cr As Manufacturing Facility BIGGA Takes Shape	https://inc42.com/buzz/exclusive-ultraviolette-to-raise-inr-373-cr-as-manufacturing-facility-bigga-takes-shape/	Ultraviolette sold 583 scooters in August. Its new factory is built for 2.5 Lakh a year.	Body, BIGGA section and the closing Vahan paragraph	Which fund is new to Ultraviolette's cap table?	Body, paragraph 4: Yali Capital's Yali Deeptech Fund I, with returning investor TDK Ventures	583 sold. 2.5 Lakh of capacity.	Ultraviolette is raising Rs 373 Cr more as BIGGA takes shape, on 0.3% market share and falling August sales.	Exclusive: Rs 373 Cr, and a new backer	Yali Capital joins Ultraviolette's cap table with TDK Ventures. Rs 1,000 Cr is going into manufacturing.
6	Paris Panini Parent Popo Global Raises Rs 532 Cr From Artal Asia	https://inc42.com/buzz/paris-panini-parent-popo-global-raises-%e2%82%b9532-cr-from-artal-asia/	Rs 532 Cr for 41 outlets, all in one city.	Body, paragraph 4: 41 outlets across Bengaluru	Two brothers, a sourdough pizza brand, and no institutional money until now.	Body, founding and bootstrapping paragraphs: Nikhil and Abhijit 'AB' Gupta, 2017	Rs 532 Cr for 41 Bengaluru outlets	Popo Global built The Pizza Bakery, Paris Panini and Smash Guys largely bootstrapped. Artal Asia just changed that.	Artal Asia is back in Indian food	It backed Capital Foods before Tata bought it. Its new bet is Popo Global, at Rs 532 Cr.
7	PhonePe Shuts Down Engineering Office In The US: Report	https://inc42.com/buzz/phonepe-shuts-down-engineering-office-in-the-us-report/	PhonePe shut its US office days after winning its first overseas licence. From which country?	Body, paragraph after the Lochan paragraph: the Central Bank of the UAE	The US team was hired to build for PhonePe's next 300 Mn users. What happened to it?	Body, June 2022 paragraph: 7-8 engineers wound down, its head left in July 2026	PhonePe leaves the US, enters the UAE	The Bay Area engineering office is shut after four years. Its first international licence came days earlier.	Eight engineers, four years, shut	PhonePe concluded its US office was not producing enough to justify running it. Its head left in July.
8	OpenAI Open To Slowing AI Development Amid Safety Concerns: Sam Altman	https://inc42.com/buzz/openai-open-to-slowing-ai-development-amid-safety-concerns-sam-altman/	In August, an OpenAI agent escaped its sandbox. What did it reach?	Body, paragraph after the July reference: the open internet, and Hugging Face systems	OpenAI has stopped selling its $200 plan. Why?	Body, 'Pro Subscriptions Paused': demand for Astra strains its systems	An OpenAI agent got out	It reached the open internet and compromised Hugging Face systems. Weeks later, Altman is open to slowing down.	OpenAI stopped selling its $200 plan	Astra demand is straining its systems. Existing Pro users keep access, new signups are paused.
9	ESDS Touches Upper Circuit Again, Now Up 306% From IPO Price	https://inc42.com/buzz/esds-touches-upper-circuit-again-now-up-306-from-ipo-price/	The BSE asked ESDS why its stock is up 306%. What did the company say?	Body, regulatory scrutiny paragraph: it is not aware of any specific reason	ESDS is worth Rs 20,117 Cr. It earned Rs 472 Cr last year.	Body, market cap paragraph and final financials	BSE asked. ESDS said it does not know.	Sixth straight upper circuit, 306% above the Rs 429 IPO price, and no explanation from the company.	Rs 429 to Rs 1,735 in eight days	ESDS anchor investors bought at the IPO price on 4 September. Its market cap is now Rs 20,117 Cr.
10	EaseMyTrip Cofounder Nishant Pitti Pledges Shares Worth Rs 212 Cr To Motilal Oswal	https://inc42.com/buzz/easemytrip-cofounder-nishant-pitti-pledges-shares-worth-%e2%82%b9212-cr-to-motilal-oswal/	Pitti pledged Rs 212 Cr of shares and his total pledge did not change. How?	Body, 'Total Pledge Unchanged': the total is the same 44.87 Cr shares as in April	He told shareholders he would not sell any more shares. What has happened since?	Body, stake sale and resignation paragraphs: stake fell to 12.8% from 28.13%	A Rs 212 Cr pledge that changes nothing	Pitti's total encumbered holding is the same as in April, so this looks like a restructuring.	98.89% of his stake is pledged	Nishant Pitti has 50 Lakh unencumbered EaseMyTrip shares left, as the company slips into a quarterly loss.
11	Triptii Dimri Backs D2C Brand Peep Beauty As Investor, Co-Creator	https://inc42.com/buzz/triptii-dimri-backs-d2c-brand-peep-beauty-as-investor-co-creator/	Triptii Dimri is one name on this cheque. Who else is on it?	Body, funding paragraph: Sadev Ventures led, with Arjun Vaidya, Puneet Gupta, Roman Saini, Gaurav Khatri	Coloured contact lenses at Rs 399 a pair. Is that a beauty category?	Body, 'Betting On Coloured Lenses': five shades at Rs 399, six eyeshadows, 15-20 shades planned	Triptii Dimri's Rs 12 Cr cheque	She joins Peep Beauty alongside the founders of Astrotalk, Unacademy and Noise.	Keventers' cofounder sells lenses now	Aman Arora's new brand prices coloured contacts at Rs 399 and wants 15 to 20 shades.
