Lane,Bucket,Goals,Accountability,Consulted,Deadline,Serves,Notes / provenance
O2,App,"PRACTICAL: 600 activated users cumulative · employer+seniority capture at SIGN-IN live by 8 Sept · 30-day tracking clock clears ~20 Sept, north star read properly for the first time. AMBITIOUS: 1,000 activated · D7 return >=25%",Ranjith,Utkarsh,30 Sept,Audience · Acquire & Identify · coverage,"RETARGETED 08-23: Jul asked 5k, Aug asked 1k, reality 189 users in 9 days pre-marketing. 600 is the rate-based number; 1,000 carried as stretch. Gated on deep-link fix + push fix (silent->APS alert). Re-cut target on 1 Sept against the true post-launch weekly rate."
O2,App,"PRACTICAL: card-1 advance 45%->60% · brief card reframed (loader, progress, declutter) · read stories never re-served on reopen. AMBITIOUS: Brief+Explore merged into one vertical feed",Ranjith,"Utkarsh, Nityam",30 Sept,Audience · Activate & Deepen,"NEW ROW 08-23 (was inside the App row). Three independent sources agree: PostHog card-1 loss, 20 Aug UX session, Ravi Kumar's cold teardown 21 Aug. Design frozen w/c 25 Aug; collides with Satya's bandwidth."
O2,Acquisition,PRACTICAL: sign-up gate test success criteria written down BEFORE readout,Ranjith (bar) · Nityam (test),Utkarsh,15 Sept,Audience · Acquire & Identify,ADDED 08-23. The Oct gate decision is Ranjith's; pre-registering the bar now prevents an argument in October.
O2,Measurement,"PRACTICAL: app events piped to warehouse · Datalabs 30-day counter ON · QIA computed on 6+ of 9 activities. AMBITIOUS: all 9 computed, north star measurable end-to-end",Prapti (warehouse) · Ranjith (instruments),Utkarsh,per roadmap v2 Wave 1-2,Audience · Measurement & Data Activation,"Unchanged from ratified sheet. WARNING: when the rest pipe in the number JUMPS - measurement fix, not growth, must not be banked as growth in the Sept read."
O2,Retention,PRACTICAL: renewal comms built and live for terms ending Sept - T-30/T-7/T-0 (26-142 Plus terms end monthly today with zero communication). AMBITIOUS: auto-renew 15%->25% · win-backs on lapsed book,Ranjith,Utkarsh,30 Sept,Audience · Retain & Renew,Unchanged. Largest unclaimed lever. Depends on Customer.io segments from the first reverse-ETL push (Prapti) + payment URLs from dunning. No baseline exists for the comms effect - first month of any comms at all.
O2,Datalabs,PRACTICAL: payment leak Sprint 2 close-out + B1 mobile + B2 filters (deferred from Aug). AMBITIOUS: involuntary churn measurably down vs Aug,Ranjith (owner) · Ashish (build),"Utkarsh, Prapti",30 Sept,Audience · Retain & Renew,Unchanged. Ashish also holds the Azure close-out - bandwidth risk.
O2,Retention Mechanisms,"PRACTICAL: candidate list named and instrumented for 30-day return (alerts, community, report surfaces, Datalabs Weekly) · Pulse legal gate CLOSED and the 15-Jul team approval sent. AMBITIOUS: Pulse shipped as a live entrant",Ranjith (runs) · Utkarsh (scores Oct),-,30 Sept,Audience · Activate & Deepen,"AMENDED 08-23: ratified sheet implies Pulse ships. Proposed: Sept delivers Pulse scoped+gated+approved, ship Oct. Legal gate open since July; AskInc42 ships first by design."
O2,Datalabs,"PRACTICAL: behavioural alerts SCOPED (spec, not build). AMBITIOUS: Datalabs onboarding designed",Animesh (campaigns) · Ranjith (product),Utkarsh,30 Sept,Audience · Activate & Deepen,"AMENDED 08-23: onboarding DESIGN proposed to move to Oct - same design hours as the app redesign, same weeks. Reversible if a designer is named at Monday leads."
O2,AI (Ask),PRACTICAL: Ask on Inc42.com DECIDED and written · Ask query events instrumented on both live surfaces. AMBITIOUS: Ask on Inc42.com building behind a flag,Ranjith · Ashish,Utkarsh,30 Sept,Audience · AI Layer,Unchanged. Instrumentation closes one of only two qualifying actions we cannot currently see at all.
O2,Offering,"PRACTICAL: A1 price probe RUN + READ on the legacy book (Rs 4,999-14,999 band, pooled ~20% bar) · ~38 lapsed data-buyers called. AMBITIOUS: tier prices confirmed or reworked, written up",Ranjith + Utkarsh,-,30 Sept,Audience · Offering,Unchanged. Must be scheduled in weeks 1-2 - 38 conversations do not fit into week 4.
O2,Unification,PRACTICAL: time-boxed review of the 'One Inc42' written definition. Ranjith does NOT draft it,Utkarsh (chair),"Ranjith, Nityam",30 Sept,Audience · Unification,"Unchanged - consulted only. Graduates to Ranjith at the Oct retro, per the FY27 plan."
O4,AI,"PRACTICAL: hiring agent generalised to multi-role (one workflow, per-role sheet config) live for >=2 roles · two-step CTC rule implemented · broken experience computation fixed. AMBITIOUS: written platform contract (how a new agent is specced, deployed, monitored, costed) · per-agent cost instrumented so the A11 cost-per-QIA baseline is readable in Oct",Ranjith (platform),"Utkarsh, Prapti",30 Sept,Engine Room · Internal AI & Agent Platform,"NEW ROW 08-23. FY27 tab assigns Ranjith 'platform, per S5' but the ratified Sept AI row names only Prapti (pilots) - the platform half was committed in the horizon plan and served by no row. GATED ON: Keka API is a paid add-on (confirmed) + DPDP consent scope for candidate data UNRESOLVED."
O2,AI (Ask),PRACTICAL: raise the v2 API requirement with Anmol in WEEK 1 - never actually raised with him. AMBITIOUS: AskInc42 v2 live with the 3 stored onboarding questions,Ranjith · Ritvik,"Utkarsh, Anmol",30 Sept,Audience · AI Layer,NEW ROW 08-23. Cheapest unblock on the plan - one conversation. Feature flags remain halted.
O2,App,"PRACTICAL: brief ranking rebuilt on read behaviour + dwell, not sector · already-read stories never re-served on reopen. AMBITIOUS: opens per day per user tracked with a Sept baseline",Ranjith,"Utkarsh, Prapti",30 Sept,Audience · Activate & Deepen,NEW ROW 08-23. Sector personalisation is dead - 86% of articles carry no sector. Behaviour is the only signal left. 'Opens/day/user' per Ravi Kumar's 21 Aug read: the single most important metric for an information app. Same warehouse dependency as the identity spine.
